The rest is tinkering, magic, forbidden games.	rest	rest::0.984046995639801	whole::0.0030135835986584425	end::0.0011388725833967328	best::0.0011297770543023944	remainder::0.0009309757151640952	most::0.0008351454162038863	Rest::0.00048301328206434846	majority::0.000423421646701172	all::0.0004155837232246995	game::0.0004081866063643247	world::0.0002531087666284293	rest::0.00020775727170985192	part::0.0001774481643224135	lot::0.00017473574553150684	other::0.00016078140470199287	last::0.00013751626829616725	past::0.0001356469001621008	entire::0.0001349424128420651	total::0.0001209735928568989	result::0.0001043132069753483
The handle incorporates a wire spring gated clip, what Schrade calls a ����plunger device,���� to allow you to quickly clip or unclip the knife from a key ring.	ring	ring::0.9999878406524658	band::4.251473455951782e-06	rings::3.849291260848986e-06	ring::1.5879446664257557e-06	chain::1.2675856169153121e-06	Ring::3.736584517355368e-07	rang::3.2395968219134375e-07	pin::1.1201727545540052e-07	register::6.11168502473447e-08	rack::5.784750101156533e-08	box::2.8097389304093667e-08	stick::1.7870009472176207e-08	bar::1.0816032514071594e-08	key::8.952587116084487e-09	grip::8.739231560639382e-09	hook::8.235751636220812e-09	string::7.814277225293154e-09	card::7.450152050836323e-09	holder::6.48528564184403e-09	car::5.6207101195582254e-09
There were dark rings under his eyes, and, somehow, in some indefinable manner, he seemed years older, a broken old man.	rings	rings::0.9999569654464722	circles::1.943891948030796e-05	bands::9.859661076916382e-06	Rings::6.901188953634119e-06	marks::3.6172179989080178e-06	ring::4.539498661415564e-07	scars::2.2686877798605565e-07	lines::2.092198769787501e-07	bruises::2.0183669846574048e-07	roses::1.6833365634738584e-07	lights::1.4453810592840455e-07	pits::1.0489380741773857e-07	ropes::9.399177258728741e-08	wrinkles::8.947229446221172e-08	beads::8.878346591245645e-08	diamonds::8.43887804080623e-08	bells::8.259034700586199e-08	shadows::7.864548479119549e-08	stones::6.895339765833342e-08	rings::5.1229502417982076e-08
This ring is open to all sites with a product or service to sell online.	ring	ring::0.9942352175712585	Ring::0.001383050112053752	rings::0.0010096941841766238	band::0.00023416781914420426	box::0.00012938142754137516	link::0.00012732406321447343	email::0.0001201893828692846	diamond::0.00011447920405771583	product::7.527861453127116e-05	brand::5.5711465392960235e-05	necklace::5.077387686469592e-05	offer::5.005940329283476e-05	set::4.551931124296971e-05	post::4.2821182432817295e-05	app::3.9881764678284526e-05	service::3.8377631426556036e-05	match::3.820789061137475e-05	bell::3.5046021366724744e-05	one::3.213894160580821e-05	circle::3.071847459068522e-05
Try saying " give me a ring " to the next Brit you meet.	ring	ring::0.9983565211296082	Ring::0.0005056812078692019	bell::0.00022210042516235262	band::0.00013081337965559214	ringing::9.046672494150698e-05	rings::6.167647370602936e-05	bit::2.162587952625472e-05	phone::1.9338043784955516e-05	signal::1.80454026121879e-05	diamond::1.530372173874639e-05	number::1.4449035006691702e-05	kiss::1.2312704711803235e-05	pin::1.1216619896003976e-05	rang::1.020381478156196e-05	call::1.0014015970227774e-05	message::9.478005267737899e-06	mark::8.715873264009133e-06	box::8.357581464224495e-06	radio::8.003934453881811e-06	song::7.997342436283361e-06
Doesn't quite have the same ring to it... June 28 - M.S.S. announces that he is going to write a book about his experiences in which he will reveal details about the collapse of the Ba'athist regime.	ring	ring::0.9999932050704956	ringing::2.241492438770365e-06	Ring::1.5361642908828799e-06	rings::8.346501658706984e-07	bell::5.242069960331719e-07	hook::3.118954907677107e-07	rang::2.958029483579594e-07	sound::2.7436519189905084e-07	feel::1.8151180825043411e-07	round::1.3140454768745258e-07	tune::7.941650892462349e-08	Ring::2.7895582732639923e-08	hang::2.0623597052349396e-08	catch::1.8305680526964352e-08	band::1.5708231160260766e-08	call::1.459812359883017e-08	fetch::1.3595585102166297e-08	circle::1.2592725084914491e-08	fire::1.119554493556052e-08	tell::1.0340529321695158e-08
The myelin sheath appears as a dark ring.	ring	ring::0.998741090297699	circle::0.0001980933011509478	band::0.00016767255146987736	rings::9.710438462207094e-05	Ring::6.921231397427619e-05	diamond::4.963959872839041e-05	mark::1.97509925783379e-05	box::1.8834025468095206e-05	ruby::1.788524241419509e-05	object::1.2570789294841234e-05	round::1.2447912013158202e-05	ball::1.197199981106678e-05	ring::1.1148833436891437e-05	rock::1.0841658877325244e-05	color::8.45345130073838e-06	mask::7.774207915645093e-06	metal::7.579417342640227e-06	ribbon::7.405252745229518e-06	brick::7.249428563227411e-06	star::7.182100034697214e-06
Besides that notable contribution, in just a few years time military bloggers - whether a part of the ring or not - have helped raise funds for Iraqi children and wounded veterans alike, brought attention to efforts to support the troops, inspired songs, helped launch film projects, and signed book deals.	ring	ring::0.999487042427063	band::0.00018122929031960666	Ring::6.739340460626408e-05	rings::5.411805250332691e-05	network::2.3258842702489346e-05	group::2.272516576340422e-05	circle::1.7872194803203456e-05	club::1.2021502698189579e-05	pack::9.33543014980387e-06	team::6.127815595391439e-06	ringing::3.9725368878862355e-06	chain::3.349833832544391e-06	ring::2.5349420411657775e-06	link::2.4023433979891706e-06	wall::2.3486902591685066e-06	circuit::2.2635176719632e-06	campaign::2.0525924355752068e-06	bell::2.0252305148460437e-06	army::1.8395811594018596e-06	rang::1.779205490493041e-06
We have done away with quarterstraps, spider rings and hair cinches and substituted a girth, which, buckling to leather billets, reduces the weight and reduced the time needed in saddling.	rings	rings::0.9999438524246216	bands::1.9336161130922846e-05	Rings::1.6737116311560385e-05	bells::9.90431635727873e-06	links::1.6976376855382114e-06	pins::1.1263241503911559e-06	hooks::1.1058207292080624e-06	rings::1.0935839327430585e-06	locks::5.815739996251068e-07	tyres::4.911713062938361e-07	ropes::4.7334870600934664e-07	wires::3.657908678178501e-07	ribs::2.4693122213648167e-07	wraps::2.0585413551543752e-07	rows::1.588431359778042e-07	ring::1.3193448467063718e-07	stones::1.1801112975717842e-07	rounds::1.0524192362026952e-07	circles::1.004953560368449e-07	knots::9.550127089141824e-08
You could say that the atom is " balanced " because it has an even number of electrons on each ring.	ring	ring::0.999923586845398	band::1.7377291442244314e-05	Ring::1.7273725461564027e-05	rings::7.550967893621419e-06	circle::4.864255515713012e-06	orbit::3.273789161539753e-06	row::2.175097733925213e-06	bond::2.0836637304455508e-06	round::1.7985889826377388e-06	element::1.5694155308665358e-06	rib::1.3820751973980805e-06	arm::8.4344810602488e-07	atom::6.589284566871356e-07	ring::6.249136959013413e-07	frame::5.802304485769127e-07	corner::5.050426352681825e-07	string::4.091270398021152e-07	sphere::3.80002177280403e-07	line::3.7913343930995325e-07	end::3.700528452554863e-07
Increased quality= less quality costs (scrap, customer returns) =increased margins.	scrap	scrap::0.64851313829422	rap::0.1125980019569397	consumer::0.01828579418361187	process::0.018097180873155594	dust::0.010522261261940002	stock::0.009719072841107845	steel::0.007380608003586531	rip::0.006195447873324156	sc::0.004840339533984661	rack::0.0045626466162502766	glass::0.004242985509335995	stuff::0.003782682353630662	product::0.0033210834953933954	paper::0.0031235013157129288	raw::0.002902751322835684	scar::0.0027719491627067327	damage::0.00247242022305727	skin::0.0024578727316111326	pack::0.002371489303186536	assembly::0.0023364066146314144
General Update #3 Wednesday, 24th September, 2003:: 03:56 EDT - Sidenotes - perplexed A little more of the general boring scrap, nothing to get too excited about.	scrap	scrap::0.9999105930328369	scrape::6.957304867682979e-05	scratch::6.8220847424527165e-06	grind::2.1380178623076063e-06	scraps::1.4111126347415848e-06	dump::5.488371357387223e-07	rap::5.263959224066639e-07	scrub::4.386708098991221e-07	stuff::3.9938993268151535e-07	trash::3.852752286093164e-07	recap::3.458212063378596e-07	crap::2.5928591185220284e-07	roast::2.309543702949668e-07	swap::2.3035869389786967e-07	graft::2.0908331066493702e-07	junk::1.9357490543825406e-07	scra::1.678769763202581e-07	wrap::1.5652032914204028e-07	salvage::1.429936844488111e-07	rap::1.2291421569443628e-07
Indeed this would only be feeding the opposites of good and bad and, as we are reminded by that little scrap of paper on the wall at the Maenllwyd, " When the opposites arise, the Buddha mind is lost ".	scrap	scrap::0.9999508857727051	scrape::3.684322291519493e-05	piece::6.214673248905456e-06	scratch::3.675686684800894e-06	scraps::6.339710125757847e-07	strip::4.3033969632233493e-07	bit::2.9089042641317064e-07	shred::2.763640623015817e-07	slice::1.3742997850840766e-07	sketch::1.0770801139869945e-07	blade::6.040949784846816e-08	snippet::5.2291234453605284e-08	slab::4.5791228586722355e-08	flap::4.071979375908086e-08	stub::3.1811353551347565e-08	slip::2.5715964468986385e-08	fragment::2.394880205258687e-08	patch::2.2786384334949616e-08	pinch::2.0563099667469942e-08	slash::1.4621358346289526e-08
Now each day the central banker taxes the other Asians on the island by confiscating a portion of the scraps of food the American throws them each day from his table.	scraps	scraps::0.999985933303833	scrap::1.3676288290298544e-05	pieces::1.060952854459174e-07	scratches::7.800209544939207e-08	wastes::7.158720904953952e-08	slices::4.128052211171962e-08	fragments::4.096489902849498e-08	strips::9.97695703830459e-09	cuts::7.016533576376105e-09	piles::6.349170966757356e-09	shards::4.549802312681095e-09	grapes::2.6858351098724143e-09	breaks::2.4300716994218874e-09	scars::2.3434139073685856e-09	snippets::2.1226211899261216e-09	remnants::1.7333251500772917e-09	garbage::1.3234517926008493e-09	bits::1.2860750242538188e-09	portions::1.212639100245383e-09	guts::1.1547007794376896e-09
" Saying this, Rikiu stepped into the garden, shook a tree and scattered over the garden gold and crimson leaves, scraps of the brocade of autumn!	scraps	scraps::0.9986196756362915	scrap::0.0007566601852886379	scratches::9.681297524366528e-05	pieces::6.586173549294472e-05	fragments::5.863721526111476e-05	slices::2.6966366931446828e-05	remnants::2.4046677935984917e-05	strips::1.4993020158726722e-05	patches::1.4763108993065543e-05	wastes::1.1719414942490403e-05	cuts::1.1574664313229732e-05	shards::9.928170584316831e-06	snippets::9.458576641918626e-06	scars::8.834610525809694e-06	breaks::8.75072419148637e-06	parts::6.916928668943001e-06	ruins::5.339078597899061e-06	tears::5.093223990115803e-06	touches::4.866072686127154e-06	stitches::4.544407602224965e-06
6 Cut a nose shape from a scrap of felt the same colour as your nose thread.	scrap	scrap::0.9999955892562866	scrape::2.2455201360571664e-06	piece::1.01548448583344e-06	scraps::5.392332695919322e-07	strip::2.149336637558008e-07	scratch::5.465600594334319e-08	shred::3.803832626658732e-08	slice::3.1754218809965096e-08	cut::2.7181032535850136e-08	patch::1.786135683801149e-08	pinch::1.3427231770890558e-08	chunk::1.1154861034867736e-08	block::1.0033770259099128e-08	bit::8.821528396651956e-09	waste::7.255201328604244e-09	stretch::5.8370837052734714e-09	blade::4.656037333461427e-09	flap::4.6370889350555444e-09	roll::4.532557440484197e-09	sketch::3.7212612991055494e-09
He saw the spark of an explosion where the main bridge section would have been and smiled in satisfaction as his brain started counting up the scrap value of an Imperial Customs Frigate.	scrap	scrap::0.9999918937683105	scrape::4.031992375530535e-06	junk::1.013367864288739e-06	scrapped::5.901391659790534e-07	scra::5.387810233514756e-07	scratch::5.37329867711378e-07	salvage::4.973718432665919e-07	shred::1.9754070024191606e-07	scraps::1.4847242368887237e-07	dump::7.820516145784495e-08	trash::6.800753027391693e-08	discard::3.9711743227144325e-08	waste::3.555693695034279e-08	blade::2.21008900069819e-08	skip::1.9694168074124718e-08	wreck::1.8068938345550123e-08	curb::1.7556159193077292e-08	graft::9.214147667080397e-09	hull::9.08618691397578e-09	strip::7.49144923872791e-09
Recycled ferrous scrap consumes 75 percent less energy than new ore.	scrap	scrap::0.9999672174453735	scraps::9.967428013624158e-06	waste::2.607389887998579e-06	scrape::2.3663610591029283e-06	steel::1.8943873101306963e-06	salvage::1.2836856058129342e-06	metal::9.57286033553828e-07	junk::8.793468282419781e-07	material::6.947163342374552e-07	pulp::5.714841790904757e-07	alloy::4.851659127780295e-07	blade::4.6900106553948717e-07	trash::4.6502475470333593e-07	stockpile::4.165498523889255e-07	dump::3.749486836568394e-07	shred::3.590514268125844e-07	rap::2.3596352605181892e-07	foil::2.2415100886519213e-07	recycling::2.0780460374680843e-07	ore::1.8212159602626343e-07
At the opposite end of the chopping board from the chopped food hopper is located another hopper which is used specifically for collecting the cut food scraps.	scraps	scraps::0.9995598196983337	scrap::0.00043520628241822124	wastes::2.3625470930710435e-06	slices::6.025796892572544e-07	fragments::1.9348041746525269e-07	pieces::1.931552020550953e-07	trash::1.2824817474665906e-07	cuts::1.0017740947887432e-07	rejects::9.58572456966067e-08	strips::8.804277484841805e-08	waste::8.354536618071506e-08	remnants::8.039016563543555e-08	residues::6.907446703507958e-08	ingredients::6.000240659886913e-08	garbage::5.99797544964531e-08	materials::5.740888298078062e-08	parts::3.9438599941377106e-08	shards::2.5438525952381497e-08	halves::2.452725134105549e-08	components::2.043769953274932e-08
Find out what type of scrap booking sheets fit in their scrap book and create a page or two for them!	scrap	scrap::0.9999974966049194	sketch::4.521138805557712e-07	scrape::3.631562321970705e-07	scratch::2.570854462646821e-07	scroll::1.4492381694708456e-07	layout::7.16465038408387e-08	stash::6.292847842814808e-08	scra::4.7717573892214205e-08	scrapped::4.68033825029579e-08	clip::4.28776587568791e-08	snap::4.050448509929083e-08	record::3.93041474922029e-08	salvage::3.749269339436978e-08	plan::3.030130102388284e-08	rap::2.74146518819407e-08	cook::2.6015445797611392e-08	stamp::2.462961212756909e-08	flex::2.3010807481682605e-08	download::2.1361959312571344e-08	save::2.0412590728824398e-08
" Chalabi is still on the Defense Intelligence Agency's budget for a secret stipend of $ 340,000 a month.	secret	secret::0.9998705387115479	Secret::2.070062510028947e-05	secret::1.3901876627642196e-05	hidden::1.3118222341290675e-05	special::1.0707884939620271e-05	private::1.0143707186216488e-05	covert::9.562195373291615e-06	secretive::4.631142019206891e-06	classified::3.873185505653964e-06	clandestine::3.858114723698236e-06	secrets::1.7224963357875822e-06	secretly::1.6379842691094382e-06	confidential::1.6030523966037435e-06	stealth::1.5697753497079248e-06	top::1.467596575821517e-06	contract::1.3826714848619304e-06	quiet::1.3713307680518483e-06	total::1.2894357723780558e-06	full::1.1237181070100632e-06	silent::1.070399889613327e-06
But there was a secret core group based on the knowledge of existence of secret partnerships.	secret	secret::0.9998563528060913	Secret::6.989753455854952e-05	private::1.3213561942393426e-05	secret::7.073950655467343e-06	hidden::5.082053576188628e-06	special::3.846744675684022e-06	clandestine::3.3736844216036843e-06	covert::3.126331648672931e-06	secretive::2.8203139663673937e-06	silent::2.6018051357823424e-06	secrets::1.6770601405369234e-06	secrecy::1.5488749340875074e-06	the::1.5002935924712801e-06	contract::1.0839980859600473e-06	quiet::9.51547860950086e-07	real::8.529391948286502e-07	different::8.077869324552012e-07	dark::7.763908342894865e-07	key::6.74064153827203e-07	parallel::6.258832172534312e-07
I think we 've really got to know whether the hookworm of political corruption in the form of secret campaign funds had invaded the Premier's office in this province, and the Premier's got to answer with a full explanation of those secret trust funds.	secret	secret::0.9999560117721558	Secret::3.367773024365306e-05	hidden::2.1534626739594387e-06	secret::1.9618198621174088e-06	private::1.0763551472336985e-06	secretive::1.0164402510781656e-06	special::8.651197731524007e-07	silent::6.411121944438491e-07	covert::5.316365445651172e-07	clandestine::3.5499706996233726e-07	quiet::1.1523879805963588e-07	dark::8.163927844861973e-08	secrets::8.074972868143959e-08	Secret::7.650394451275133e-08	secretly::6.384565409689458e-08	corrupt::5.8179825401794005e-08	subject::4.3062250654202217e-08	transparent::4.1811624384990864e-08	illegal::3.8095919308034354e-08	public::3.7013666798202394e-08
Is there a devious secret government?	secret	secret::0.9948049187660217	Secret::0.0007033281144686043	hidden::0.0006012924131937325	secretive::0.0003936518623959273	secret::0.00018779639503918588	secrets::0.00016199625679291785	shadow::0.00015861287829466164	dark::0.0001188105161418207	clandestine::0.00010760405712062493	private::9.690190199762583e-05	government::9.033214882947505e-05	covert::7.229515176732093e-05	secrecy::6.582372589036822e-05	spy::6.544715870404616e-05	stealth::5.728602991439402e-05	new::5.469900497701019e-05	underground::5.049152605351992e-05	real::5.019462696509436e-05	special::4.475417881621979e-05	global::4.205870209261775e-05
Among her accomplishments was the ten-word secret message she sent to General Pierre G.T. Beauregard which ultimately caused him to win the battle of Bull Run.	secret	secret::0.9999785423278809	Secret::9.075202797248494e-06	private::3.6932731291017262e-06	hidden::1.718140993034467e-06	covert::1.5035996057122247e-06	silent::1.0103358363267034e-06	secret::9.859832061920315e-07	special::7.715518108852848e-07	clandestine::4.982976520295779e-07	secrets::3.877860024203983e-07	secretive::8.790210159759226e-08	direct::8.632827785959307e-08	quiet::8.256913730519955e-08	dark::7.298496029761736e-08	classified::5.533372871013853e-08	key::5.3716259884595274e-08	sweet::5.1509069010080566e-08	secretly::4.9342851582423464e-08	confidential::3.800417047727933e-08	short::3.71878705607287e-08
Sometimes I spy on him snacking, or peek at his secret projects and feel mild shame that, Yes, he isn't doing anything wrong.	secret	secret::0.9999730587005615	Secret::1.8201240891357884e-05	private::2.274019607284572e-06	hidden::2.1418329652078683e-06	secret::9.168787187263661e-07	covert::4.3071221966783924e-07	quiet::4.0610731844026304e-07	silent::3.841032878426631e-07	special::1.8863495654386497e-07	secretive::1.378935792217817e-07	project::1.3601439263766224e-07	dark::1.2221960332681192e-07	secrets::1.0077777545802746e-07	clandestine::9.676926993051893e-08	mystery::5.873944530776498e-08	stealth::5.858548490778048e-08	cool::5.008693193531144e-08	little::3.878251320088566e-08	subject::3.6919391988021744e-08	plan::3.483583910224297e-08
After poking around on the web to see what the big deal is about visual changes, and coming across things like " pituitary bleeding " -- which just calls to mind my secret fear the last time I had visual symptoms, that I have a pituitary tumor too small to be detected on MRI -- I think I 'm fine with not taking any chances.	secret	secret::0.9999834299087524	Secret::4.7195048864523415e-06	private::3.6710978292830987e-06	dark::2.5225481294910423e-06	secret::1.0260869203193579e-06	hidden::9.289711329074635e-07	silent::9.217664000971126e-07	quiet::3.4948024563163926e-07	real::2.7726852636078547e-07	constant::2.7486009912536247e-07	secretly::1.855318174648346e-07	secrets::1.5328177482842875e-07	deep::9.290982205811815e-08	Secret::5.738437636182425e-08	covert::5.355672172413506e-08	stupid::5.2123056093478226e-08	sad::4.883375837039239e-08	big::4.094651728792087e-08	sick::2.8229516502165097e-08	old::2.2085197670662637e-08
ELECTION: In the event of a contest, election shall be by secret ballot, and a plurality vote shall be required for election.	secret	secret::0.999817430973053	Secret::4.381922190077603e-05	silent::2.4978109649964608e-05	secret::1.2322775546635967e-05	clandestine::1.155129666585708e-05	private::1.1497882951516658e-05	confidential::1.1361370525264647e-05	secure::7.168069259932963e-06	secrecy::6.873482107039308e-06	anonymous::5.776537818746874e-06	covert::4.923793767375173e-06	hidden::4.255746262060711e-06	secretive::3.2797161111375317e-06	quiet::2.52994414040586e-06	strict::1.5751204500702443e-06	stealth::1.5474562360395794e-06	blind::1.2473876722651767e-06	discreet::1.2020838084936258e-06	special::1.167573486782203e-06	secrets::9.804089131648652e-07
An intriguing series of events are described, from the knowledge taught to Enoch by the angel Uriel, through the construction of megalithic monuments, to the creation and shaping of nations and religions, and the formation of modern secret societies - even the mysterious agenda of the New World Order.	secret	secret::0.999976396560669	Secret::1.5470774087589234e-05	private::1.8827049643732607e-06	hidden::1.3703933063879958e-06	secrets::1.027145003718033e-06	secretive::5.715047564081033e-07	dark::5.154396944817563e-07	clandestine::3.1704121283837594e-07	secret::2.2157540513489948e-07	special::1.5567076161460136e-07	tight::1.5007763920493744e-07	strict::1.1771642505209456e-07	covert::1.1621280293638847e-07	class::9.544829282503997e-08	silent::6.33213446121772e-08	complex::6.250107276173367e-08	true::4.766308236980876e-08	real::4.7397637814583504e-08	underground::4.2864488847271787e-08	public::4.272474640742985e-08
maybe and FBI agent.... not secret service....	secret	secret::0.9988356232643127	Secret::0.00026135880034416914	special::0.00016670556215103716	secret::0.00010754578397609293	secrets::5.723317008232698e-05	hidden::4.5234071876620874e-05	security::4.131733294343576e-05	clandestine::2.4966529963421635e-05	spy::2.449344174237922e-05	secretive::1.6461252016597427e-05	public::1.3861447769158985e-05	secrecy::1.1879141311510466e-05	covert::1.1058183190471027e-05	private::9.784793292055838e-06	sec::8.931956472224556e-06	dark::8.903381058189552e-06	the::6.667001343885204e-06	government::5.584956852544565e-06	intelligence::5.553451046580449e-06	real::5.467206847242778e-06
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	shot::0.995716392993927	shots::0.002739750547334552	ball::0.0007935169851407409	stroke::0.00013350078370422125	hit::0.00010785106860566884	drive::6.867838237667456e-05	swing::6.357044912874699e-05	Shot::3.603584264055826e-05	round::2.296395723533351e-05	shoot::1.8135933714802377e-05	effort::1.714830614218954e-05	bullet::1.5968011211953126e-05	shot::1.456485188100487e-05	cut::9.226534530171193e-06	target::9.219287676387466e-06	strike::8.649658411741257e-06	play::7.512459433201002e-06	weapon::6.944497272343142e-06	throw::5.398671419243328e-06	club::4.907320999336662e-06
