The rest is tinkering, magic, forbidden games.	rest	a l l::0.9257106781005859	w h o l e::0.06718359142541885	e n t i r e::0.0044631571508944035	e v e r y t h i n g::0.000959225813858211	p a r t::0.0002457453520037234	r e s t::0.00020239691366441548	e v e r y o n e::0.00015895515389274806	t o t a l::0.00011284343054285273	n o n e::7.49548853491433e-05	c o m p l e t e::7.420757174259052e-05	e n t i r e t y::6.736531213391572e-05	s o m e::6.676353950751945e-05	o v e r a l l::6.152035348350182e-05	o n l y::5.2294519264250994e-05	m o s t::4.587151124724187e-05	f u l l::3.835842289845459e-05	n o t h i n g::3.074068808928132e-05	m a j o r i t y::2.5287205062340945e-05	m o s t l y::2.0826530089834705e-05	a l::1.6820220480440184e-05
Sometimes I spy on him snacking, or peek at his secret projects and feel mild shame that, Yes, he isn't doing anything wrong.	secret	s e c r e t::0.7774597406387329	s e c r e t s::0.22204899787902832	m y s t e r y::4.927133340970613e-05	o w n::4.316881313570775e-05	p r i v a t e::3.826350803137757e-05	h i d d e n::3.2396514143329114e-05	t h i n g s::1.9622906620497815e-05	o t h e r::1.7045522326952778e-05	s p e c i a l::1.1489369171613362e-05	c o n f i d e n t i a l::8.772702130954713e-06	i n s i d e::8.477330084133428e-06	c l u e s::8.15707153378753e-06	m y s t e r i e s::8.129532943712547e-06	s e c r e t l y::7.960578841448296e-06	n e w::7.730800462013576e-06	f u n::7.300301604118431e-06	d e t a i l s::7.091536645020824e-06	m y s t e r i o u s::6.492180546047166e-06	b o o k s::5.596892606263282e-06	f r i e n d s::4.781828010891331e-06
After poking around on the web to see what the big deal is about visual changes, and coming across things like " pituitary bleeding " -- which just calls to mind my secret fear the last time I had visual symptoms, that I have a pituitary tumor too small to be detected on MRI -- I think I 'm fine with not taking any chances.	secret	s e c r e t::0.9943695664405823	s e c r e t s::0.005064638331532478	h i d d e n::4.600104148266837e-05	p r i v a t e::2.920489714597352e-05	d i r t y::2.3328004317590967e-05	b i g::2.2815684133092873e-05	f i r s t::1.827843334467616e-05	r e a l::1.3716808098251931e-05	o w n::1.2566609257191885e-05	l a s t::1.2502452591434121e-05	s e c o n d::1.2458282981242519e-05	n e w::1.0961408406728879e-05	s p e c i a l::1.0771859706437681e-05	f a v o r i t e::1.044034434016794e-05	d e m o n::1.0140855010831729e-05	f i n a l::7.97733991930727e-06	d e e p e s t::7.887950232543517e-06	p r e c i o u s::7.146273674152326e-06	s n e a k i n g::7.090546205290593e-06	s a f e::6.82216341374442e-06
ELECTION: In the event of a contest, election shall be by secret ballot, and a plurality vote shall be required for election.	secret	s e c r e t::0.9983865022659302	s e a l e d::0.00022029291721992195	c l o s e d::0.00013242663408163935	t h e::0.00012401833373587579	p u b l i c::7.471523713320494e-05	p r i v a t e::6.15316821495071e-05	o p e n::5.4977510444587097e-05	s i n g l e::5.321939897839911e-05	w r i t t e n::4.7792262193979695e-05	d i r e c t::4.719687785836868e-05	s p e c i a l::3.714841659530066e-05	s i m p l e::3.299017043900676e-05	s e p a r a t e::3.055214983760379e-05	c o n c e a l e d::2.885670619434677e-05	o r d i n a r y::2.8831234885728918e-05	g e n e r a l::2.3671931558055803e-05	a::2.295546255481895e-05	s i l e n t::2.0878158466075547e-05	s e c r e c y::1.8573933630250394e-05	c o m m o n::1.8041024304693565e-05
An intriguing series of events are described, from the knowledge taught to Enoch by the angel Uriel, through the construction of megalithic monuments, to the creation and shaping of nations and religions, and the formation of modern secret societies - even the mysterious agenda of the New World Order.	secret	s e c r e t::0.983870267868042	s e c r e t s::0.015952056273818016	s e c r e t i v e::4.843819624511525e-05	m y s t e r y::2.0440469597815536e-05	s e c r e c y::1.6702239008736797e-05	m y s t e r i e s::9.433085324417334e-06	c l a n d e s t i n e::9.388856597070117e-06	c o n f i d e n t i a l::9.227037480741274e-06	c l o s e d::8.633671313873492e-06	s e a l e d::6.8506906245602295e-06	h i d d e n::5.71931150261662e-06	s p i e s::3.939175257983152e-06	p r i v a t e::3.938022018701304e-06	m y s t e r i o u s::2.578618705229019e-06	u n d e r g r o u n d::1.7477883602623479e-06	s e c u r i t y::1.4645731880591484e-06	o c c u l t::1.313076495534915e-06	s e c r e t l y::9.457393161937944e-07	e s p i o n a g e::9.279991104449437e-07	f o r b i d d e n::8.429068998339062e-07
maybe and FBI agent.... not secret service....	secret	s e c r e t::0.7852210402488708	s e c r e t s::0.20243914425373077	s e c u r i t y::0.003561744699254632	s p i e s::0.0013895562151446939	i n f o r m a t i o n::0.0005722923669964075	t h e::0.0003393930965103209	c l a s s i f i e d::0.00025006491341628134	a g e n t s::0.00021616271988023072	c o n f i d e n t i a l::0.0001792993862181902	p r i v a t e::0.00016485588275827467	n e w s::0.00014951094635762274	c o d e s::0.00012711333693005145	c l o s e d::0.00010439068864798173	s e c r e t i v e::0.00010051752906292677	c l a n d e s t i n e::0.00010043703514384106	t h i n g s::9.188833791995421e-05	p u b l i c::8.765162783674896e-05	d e t a i l s::8.370183786610141e-05	s p e c i a l::7.924685633042827e-05	h i d d e n::7.164930138969794e-05
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	s h o t::0.9596036076545715	s h o o t::0.031550489366054535	s h o t s::0.006398327182978392	s h o o t i n g::0.000670191424433142	h i t::0.0005308430409058928	s h o o t s::0.00032737175934016705	s h o o t e r::0.00010110708535648882	a i m::4.4520242227008566e-05	b u l l e t::4.345659544924274e-05	t a r g e t::3.10223076667171e-05	s c o r e::2.4741630113567226e-05	b a l l::2.3992650312720798e-05	d r i v e::2.380850310146343e-05	t h r o w::2.3364242224488407e-05	p l a y::2.2075932065490633e-05	r u n::1.858208815974649e-05	m o v e::1.7923743143910542e-05	s t e p::1.745236113492865e-05	c u t::1.6238434909610078e-05	h a n d::1.411043012922164e-05
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	s h o t::0.73601233959198	s h o t s::0.24509504437446594	s h o o t i n g::0.008001049049198627	t i m e::0.0017996655078604817	s h o o t::0.0008794321329332888	h i t::0.000526710762642324	m o n e y::0.00046431864029727876	f i r e::0.0003930907405447215	b a l l::0.0003061043389607221	i t::0.00029032331076450646	a m m u n i t i o n::0.00026730101672001183	b u l l e t::0.00020550109911710024	s h o o t s::0.00020539881370496005	# # h o t::0.00018863163131754845	s c o r e::0.00016744589083828032	g a m e::0.00015619763871654868	b e e r::0.00014154086238704622	a c t i o n::0.00012281813542358577	p o w d e r::0.00011083848949056119	s e c o n d s::0.00010149290028493851
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	s h o t s::0.9975455403327942	s h o t::0.0010063635418191552	b u l l e t s::0.0002470474864821881	s h o o t e r s::0.00024091255909297615	s h o o t s::0.00015733903273940086	m o r e::0.00010704937449190766	t i m e s::8.615641127107665e-05	s e c o n d s::6.126247899373993e-05	g u n s::5.2091108955210075e-05	h i t s::2.5161763915093616e-05	r o u n d s::2.218809640908148e-05	p i c t u r e s::1.8353328414377756e-05	h o l e s::1.520940895716194e-05	s h e l l s::1.4902634575264528e-05	s t e p s::1.3823702829540707e-05	b e e r s::1.0381534593761899e-05	t h i n g s::9.961711839423515e-06	b a l l s::9.559796126268338e-06	a g a i n::8.99085534911137e-06	s h o o t i n g::8.53691472002538e-06
You will more and more be able to make the ball do what is needed for the shot.	shot	j u s t::0.27133673429489136	g o o d::0.16361506283283234	s h o t::0.06084253638982773	r i g h t::0.060440778732299805	p e r f e c t::0.017746921628713608	t h i n g::0.016206637024879456	n o t::0.015629971399903297	s h o o t i n g::0.012715725228190422	b e t t e r::0.011768976226449013	b e s t::0.010400606319308281	s h o t s::0.010048420168459415	w e l l::0.008789192885160446	a l l::0.008449003100395203	h i t::0.008134436793625355	o k a y::0.007588744163513184	t h i n g s::0.007441581226885319	y o u::0.007292312104254961	h a p p y::0.006079309154301882	n o t h i n g::0.005223223473876715	a c t i o n::0.004997925832867622
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	s h o t s::0.9884635806083679	s h o t::0.011306633241474628	b u l l e t s::0.00021080645092297345	s h o o t s::8.621099368610885e-06	s h o o t e r s::2.180483079428086e-06	b u l l e t::7.726757758064196e-07	s h o o t i n g::7.029585162854346e-07	s h o o t::6.173052042868221e-07	s e c o n d s::4.762315199968725e-07	s l u g::4.2756954599099117e-07	r o u n d s::3.5358436889509903e-07	g u n s h o t::3.275158348969853e-07	g u n s::2.3954945049808885e-07	b u c k s::2.2345591332850745e-07	t i m e s::1.7784411454613291e-07	g u n f i r e::1.7703321475437406e-07	d o l l a r s::1.6645105915813474e-07	p u n c h e s::1.4599844178064814e-07	b o t t l e s::1.4581364382593165e-07	h o l e s::1.357855126116192e-07
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	s h o t s::0.9945849776268005	s h o t::0.005372228566557169	s h o o t s::1.6159254300873727e-05	b u l l e t s::1.1473651284177322e-05	s h o o t i n g::4.233239906170638e-06	g u n f i r e::2.1585572085314197e-06	g u n s h o t::6.281454147938348e-07	g u n s::4.1868929656629916e-07	b a l l s::4.186325952559855e-07	s e c o n d s::3.732536129064101e-07	c u t s::3.1429337354893505e-07	a c t i o n s::2.7678080982695974e-07	s h o o t::2.751422698565875e-07	s h e l l s::2.635985651977535e-07	c a l l s::2.2887255113346328e-07	f i r e::2.1138382066965278e-07	f i r e s::2.0963803137874493e-07	g a m e s::2.0881795137484005e-07	s t e p s::2.0790686505733902e-07	r o u n d s::2.069249376290827e-07
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	s h o t s::0.9939844012260437	s h o t::0.005294585134834051	s h o o t s::0.000536215549800545	s h o o t e r s::0.00012670840078499168	s h o o t i n g::1.8556660506874323e-05	g a m e s::5.536216121981852e-06	s h o o t::5.068935024610255e-06	p i c t u r e s::2.8797924187529134e-06	h i t s::2.1974344690534053e-06	a c t i o n s::1.0476222769284504e-06	p i e c e s::8.940710927163309e-07	p l a y e r s::7.521656470999005e-07	c a r s::6.370009941747412e-07	b a l l s::5.962264708614384e-07	s h o e s::5.209895448388124e-07	s t r o k e s::5.040054134042293e-07	m a d e::4.98449537644774e-07	s c o r e s::4.1351302115799626e-07	t h i n g s::3.5187193248020776e-07	s i t u a t i o n s::3.3857529047054413e-07
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	s h o t::0.9989423155784607	s h o t s::0.0007869437104091048	# # s h o t::7.714296225458384e-05	s h o o t::7.557624485343695e-05	# # h o t::2.8761851353920065e-05	h i t::1.7073531125788577e-05	o u t::8.22253423393704e-06	c u t::7.946670848468784e-06	p i c t u r e::7.877193638705648e-06	s h o o t i n g::6.707581633236259e-06	s l u g::4.715378054243047e-06	o f f::3.7932113627903163e-06	# # c u t::2.1883565750613343e-06	u p::1.984855316550238e-06	g u n::1.7083765442293952e-06	s h o o t e r::1.0664791716408217e-06	b u l l e t::1.054844688042067e-06	h o l e::9.651333812144003e-07	o n::9.196799055644078e-07	s h o o t s::9.005131005324074e-07
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	s h o t s::0.9100669622421265	s h o t::0.0894504114985466	s h o o t s::0.00041358073940500617	s h o o t i n g::3.560907134669833e-05	s h o o t::1.8497807104722597e-05	p i c t u r e s::3.7074655665492173e-06	p h o t o s::2.03546028387791e-06	s h o o t e r s::1.045405724653392e-06	s p o t s::6.738982278875483e-07	f i l m e d::6.350891226247768e-07	c l i p s::5.469925667966891e-07	s i t u a t i o n s::4.749829827233043e-07	# # s h o t::4.2046784187732555e-07	g u n s::3.8703223026459455e-07	f i r e d::3.337998464303382e-07	s c e n e s::3.2199793054132897e-07	m o v i e s::1.7206436098149425e-07	# # s::1.7016373021760955e-07	c a m e r a s::1.6686516346453573e-07	p a r t s::1.341995243819838e-07
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	s h o t::0.999924898147583	s h o t s::5.831986709381454e-05	s h o o t::8.867062206263654e-06	# # s h o t::3.267723513999954e-06	h i t::1.017964564198337e-06	b e e r::5.855498557139072e-07	s h o o t i n g::2.8953280661880854e-07	b u l l e t::1.9984328503142024e-07	s h o o t e r::1.4463689979038463e-07	# # k e::1.379987537575289e-07	r e a c t i o n::1.2910889779504942e-07	d a r t::1.0593836918815214e-07	i n j e c t i o n::8.257477901452148e-08	k i d::7.609961016896705e-08	h e a d a c h e::7.530833556756988e-08	g u n::7.399160750765077e-08	s o n g::7.380203470574997e-08	# # p::6.980069855444526e-08	m i n u t e::5.8884683795668025e-08	g a m e::4.2122174193082174e-08
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	s h o w::0.9994958639144897	s h o w i n g::0.00016465420776512474	s h o w e d::0.00014540829579345882	s h o w s::9.590885747456923e-05	t e l l::6.8562978412956e-05	g i v e::2.008504088735208e-05	d i s p l a y::3.769399654629524e-06	s h o w n::2.7652495191432536e-06	r e v e a l::1.1225636171730002e-06	s e e::6.677560691059625e-07	b e::2.5664911618150654e-07	l o o k::7.961006076584454e-08	p r e s e n t::7.944154134520431e-08	m a r k::6.700196308884188e-08	s a y::6.215987014002167e-08	i n d i c a t e::5.8553283110995835e-08	t e a c h::5.467184749363696e-08	h a v e::4.886481619337246e-08	p r o v e::2.9860039774121105e-08	m a t c h::2.6222235049999654e-08
I cannot connect and my access point is not shown by " iwlist scan ".	shown	i n d i c a t e d::0.7079927921295166	s h o w n::0.27971377968788147	s e e n::0.00423121964558959	s h o w e d::0.001383404596708715	m e n t i o n e d::0.0011743713403120637	m a r k e d::0.000837657309602946	d i s p l a y e d::0.0005986866308376193	n o t e d::0.0005339270574040711	i d e n t i f i e d::0.0004906304529868066	s t a t e d::0.0003528534434735775	k n o w n::0.00028633291367441416	p r o v i d e d::0.0002691357512958348	s p e c i f i e d::0.0001348762889392674	s u g g e s t e d::0.00013397647126112133	d e s c r i b e d::0.00013302465958986431	d e m o n s t r a t e d::0.0001030592029565014	v i s i b l e::9.138885070569813e-05	i l l u s t r a t e d::8.762634388403967e-05	p r e s e n t e d::8.437276119366288e-05	f o u n d::8.359649655176327e-05
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	s h o w::0.8091886043548584	s o::0.07968959212303162	a n d::0.06274755299091339	t h a t::0.03203273192048073	s h o w s::0.00550687313079834	b u t::0.0051599591970443726	t h e n::0.0017361210193485022	s h o w i n g::0.000777779845520854	t h e r e::0.0007398673333227634	s h o w e d::0.00034179893555119634	g i v e::0.0002452558546792716	d o::0.00023994814546313137	"::0.0001290198415517807	s t i l l::9.362995479023084e-05	d i s p l a y::8.428203000221401e-05	...::7.051200373098254e-05	a l l::5.462455010274425e-05	b e c a u s e::5.330668136593886e-05	s e e::4.741556404042058e-05	w h a t::3.913058390025981e-05
One example is shown in Fig.	shown	s h o w n::0.9167755246162415	i n d i c a t e d::0.026511818170547485	s h o w i n g::0.015342136844992638	d i s p l a y e d::0.01154256984591484	d e p i c t e d::0.005575302056968212	i l l u s t r a t e d::0.0044303834438323975	p r e s e n t e d::0.0029906658455729485	d e s c r i b e d::0.002653603907674551	s h o w e d::0.0020256072748452425	d i s p l a y i n g::0.0009559817262925208	m a r k e d::0.0006948643713258207	e x h i b i t e d::0.0006833950756117702	p r o v i d e d::0.0006577030871994793	d e m o n s t r a t e d::0.0004803019401151687	r e p r e s e n t e d::0.0004223010619170964	g i v e n::0.0004218027461320162	s t a t e d::0.0004197474045213312	m e n t i o n e d::0.00035888588172383606	o u t l i n e d::0.00035155160003341734	s e e n::0.0003273079637438059
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	s h o w::0.9990506768226624	l o o k::0.0005237656878307462	s e e::0.00022231123875826597	s h o w s::0.00014316770830191672	d i s p l a y::2.389075052633416e-05	s h o w e d::1.0977557394653559e-05	a p p e a r::4.240087037032936e-06	g i v e::3.357791911184904e-06	s h o w i n g::2.8163217393739615e-06	c o m e::2.5454610295128077e-06	m a r k::1.9274382339062868e-06	l i g h t::1.2032290896968334e-06	s h i n e::6.940610433048278e-07	b r i n g::6.79939944348007e-07	b e::5.095079700367933e-07	t u r n::4.6611941684204794e-07	p r e s e n t::4.577844094910688e-07	s h o w n::3.704208495491912e-07	a d d::3.577803795451473e-07	h a v e::3.4494533451834286e-07
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	s h o w i n g::0.7995031476020813	s h o w::0.05426198989152908	d i s p l a y i n g::0.04838401451706886	t h i s::0.03707831725478172	p r e s e n t i n g::0.030414512380957603	d i s p l a y::0.018068648874759674	s h o w n::0.0031378669664263725	s h o w s::0.0026901254896074533	s h o w e d::0.0011764824157580733	p r e s e n t::0.0011005079140886664	p r e s e n t a t i o n::0.0006234304746612906	d i s p l a y e d::0.0005618170253001153	d e p i c t i n g::0.00037512448034249246	t h e s e::0.0002741808712016791	d i s p l a y s::0.0002645645581651479	g i v i n g::0.00020885671256110072	d e m o n s t r a t i n g::0.00015010053175501525	p r e s e n t s::0.00011899798118975013	s u c h::0.00010782894241856411	t h a t::0.00010471632413100451
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	s h o w::0.9948270916938782	s e e::0.004466320853680372	t e l l::0.0002238952147308737	g i v e::0.0001426114176865667	s h o w e d::7.606029248563573e-05	d i s p l a y::5.3156400099396706e-05	s h o w s::4.127682404941879e-05	e x p l a i n::1.8743297914625145e-05	p r e s e n t::1.3617624972539488e-05	m a r k::1.1008584806404542e-05	d o::1.002238059299998e-05	s h o w i n g::7.938803719298448e-06	p a i n t::7.725846444373019e-06	t e a c h::7.607613497384591e-06	m a k e::5.456582584884018e-06	k n o w::5.385784788813908e-06	i l l u s t r a t e::4.549681307253195e-06	l o o k::3.907092377630761e-06	b e::3.7545485156442737e-06	s h o w n::3.6153173823549878e-06
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	s h o w::0.9006499648094177	s h o w s::0.09373779594898224	s e e::0.002785111777484417	s h o w e d::0.0013577889185398817	s h o w i n g::0.0004911745782010257	g i v e::0.00036388347507454455	p r e s e n t::0.00013036419113632292	s h o w n::7.149713928811252e-05	d i s p l a y::5.476326259667985e-05	p r e s e n t s::3.664023461169563e-05	d o::2.91302985715447e-05	s e e s::2.463935743435286e-05	e x p l a i n::2.39115470321849e-05	t e l l::2.1080506485304795e-05	d e l i v e r::1.8278871721122414e-05	s a w::1.4664811715192627e-05	h a v e::1.1172412996529602e-05	p i c t u r e s::9.884144674288109e-06	t e a c h::9.803747161640786e-06	b r i n g::8.951032214099541e-06
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	s h o w n::0.8909078240394592	s h o w i n g::0.07810887694358826	s h o w e d::0.015474090352654457	p r e s e n t e d::0.00710708973929286	d i s p l a y i n g::0.0022839875891804695	p r e s e n t i n g::0.001896582543849945	d i s p l a y e d::0.0014272683765739202	d e p i c t i n g::0.0006134806317277253	d e p i c t e d::0.0002654283307492733	d e m o n s t r a t i n g::0.0002535719540901482	d e m o n s t r a t e d::0.00022073363652452826	d i s p l a y::0.00018254996393807232	o f f e r e d::0.00016113741730805486	g i v e n::0.00012209474516566843	p r e s e n t::0.00010015818406827748	s h o w::9.978588059311733e-05	s h o w s::9.234371827915311e-05	e x h i b i t i n g::5.711224002880044e-05	e x h i b i t e d::3.650856524473056e-05	i l l u s t r a t e d::2.5288622055086307e-05
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	d e p i c t e d::0.6034722328186035	s h o w n::0.13770809769630432	i n d i c a t e d::0.12743958830833435	d i s p l a y e d::0.07421869039535522	d e s c r i b e d::0.020336346700787544	m e n t i o n e d::0.006544054020196199	i l l u s t r a t e d::0.003667662153020501	l i s t e d::0.003104190342128277	s t a t e d::0.0028248911257833242	s h o w e d::0.002610724186524749	p r e s e n t e d::0.0023323730565607548	s h o w i n g::0.0020360650960355997	d e p i c t i n g::0.0015819418476894498	r e p r e s e n t e d::0.0013967951526865363	p o r t r a y e d::0.0010342225432395935	e x p r e s s e d::0.0006503498298116028	n o t e d::0.0006163839134387672	s p e c i f i e d::0.0006022099405527115	# # a t e d::0.0005419644294306636	i m p l i e d::0.0005183038883842528
Wind the power cable into a gentle loop when storing it in the bag.	Wind	w i n d::0.9809806942939758	w i n d s::0.01811644621193409	# # w i n d::0.00011541768617462367	t u r n::3.934971391572617e-05	p u t::3.7518515455303714e-05	p u l l::3.663842653622851e-05	a i r::3.0023369617993012e-05	b r i n g::1.874188455985859e-05	b l o w::1.8637419998412952e-05	w i n d i n g::1.6535381291760132e-05	p o w e r::1.5633586372132413e-05	w e a v e::1.3911550922784954e-05	w a r p::1.3540881809603889e-05	c o m b::1.2360228538454976e-05	m a k e::1.1699472452164628e-05	r u n::1.0138741345144808e-05	i n::1.0103606655320618e-05	w o r k::9.533408046991099e-06	t w i s t::9.515949386695866e-06	g r i n d::8.576463187637273e-06
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	w i n d::0.9545369148254395	w i n d s::0.044979073107242584	m a k e::9.252005838789046e-05	w i n d i n g::8.023852569749579e-05	t h r e a d::6.971463153604418e-05	l i n k::3.104254574282095e-05	w o r k::2.8832033422077075e-05	.::2.104875056829769e-05	p o w e l l::1.0738292985479347e-05	m a k e s::9.876742296910379e-06	h a v e::8.397501005674712e-06	w h e e l::7.970142178237438e-06	,::6.171059794723988e-06	w a r p::5.705403509637108e-06	a n d::4.129291482968256e-06	b l o w::4.069434453413123e-06	w o r k s::3.883944373228587e-06	s p e e d::3.2602854389551794e-06	a l l::2.844360551534919e-06	i s::2.2961189642956015e-06
Jury wonders, is Harry Johnson winding him up?	winding	w i n d i n g::0.7530149817466736	t y i n g::0.05658572539687157	c u t t i n g::0.04277392476797104	h a n g i n g::0.00993293710052967	b a c k i n g::0.008016482926905155	p i c k i n g::0.005719372071325779	s h u t t i n g::0.005392981227487326	b r e a k i n g::0.005082172341644764	b i n d i n g::0.004933210089802742	h o l d i n g::0.004507027566432953	b e a t i n g::0.004150853026658297	l o c k i n g::0.003758414648473263	k e e p i n g::0.003580839606001973	t e a r i n g::0.0033824036363512278	m a k i n g::0.0033514313399791718	w r a p p i n g::0.0028795581310987473	b u r n i n g::0.002805860713124275	r i n g i n g::0.0027990401722490788	c l o s i n g::0.0027186363004148006	t w i s t i n g::0.0024446186143904924
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	w i n d::0.9735059142112732	w i n d s::0.024759190157055855	e n d::0.0005523771396838129	w o u n d::0.00036904698936268687	e n d s::0.00016723661974538118	# # w i n d::8.891505422070622e-05	w a k e::4.619614264811389e-05	h o o k::3.883236786350608e-05	.::3.3232925488846377e-05	w a k e s::2.8457550797611475e-05	s h u t::2.7036476240027696e-05	l i n k::2.1683146769646555e-05	w i n d i n g::1.9865528884110972e-05	g e t::1.5258764506143052e-05	h a n g::1.177012745756656e-05	s p i k e::1.1647377505141776e-05	e n d e d::1.1453435035946313e-05	t u r n::1.0753116839623544e-05	n e t::1.0046758688986301e-05	b l o w::9.836420758801978e-06
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	w i n d i n g::0.9872898459434509	r u n n i n g::0.005220573861151934	g o i n g::0.002304970985278487	l e a d i n g::0.00120937405154109	f o l l o w i n g::0.00048222707118839025	c o m i n g::0.00031475353171117604	f u r t h e r::0.00029733922565355897	f l o w i n g::0.00022185163106769323	c o n t i n u i n g::0.00020781489729415625	p a s s i n g::0.00020346351084299386	s t r a i g h t::0.00017124656005762517	d r i v i n g::0.0001559940428705886	t u r n i n g::0.0001464678207412362	a n d::0.00014472677139565349	h e a d i n g::0.00012398110993672162	t r a v e l l i n g::0.00010443811333971098	c u t t i n g::9.336717630503699e-05	w a l k i n g::7.107255078153685e-05	c r e e p i n g::6.664027750957757e-05	w e a v i n g::5.108240293338895e-05
So they all wind up in that loaf of bread.	wind	w i n d::0.9559210538864136	w i n d s::0.024580009281635284	w e::0.0047704498283565044	a r e::0.0012052581878378987	g e t::0.001179286977276206	i::0.0009473894024267793	m e::0.000775715394411236	h a v e::0.0007296866388060153	u s::0.0006146382656879723	b l o w::0.0005146359326317906	g o t::0.00039714205195195973	g o::0.000385124672902748	w e r e::0.0003430962096899748	c o m e::0.0002554829407017678	w o k e::0.0002319404884474352	e n d s::0.0002044920256594196	p o w e l l::0.00019538072228897363	p u t::0.00019509806588757783	t h e y::0.0001884420489659533	t a k e::0.00018163076310884207
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	a l o n g::0.5679094791412354	w i n d i n g::0.3129478991031647	o n::0.015194247476756573	f o l l o w i n g::0.00623549846932292	m a k i n g::0.005624869838356972	w o r k i n g::0.005070696119219065	l e a d i n g::0.004121330566704273	b a t t l i n g::0.004024547059088945	w o r m s::0.0037647264543920755	# # r r i n g::0.003118187887594104	p a i n s::0.0029485186096280813	c r a w l i n g::0.002720528282225132	i n g::0.0024586974177509546	d o i n g::0.0019440180622041225	w a r r e n::0.001881301635876298	w o r m::0.0018095889827236533	u p o n::0.0017670647939667106	l e y::0.0017484610434621572	c h a s i n g::0.0015655983006581664	c u t t i n g::0.001531878486275673
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	j u s t::0.922625720500946	o n l y::0.0435374490916729	h a d::0.0065135834738612175	g o t t e n::0.004111271817237139	w a n t e d::0.003194940509274602	d o n e::0.001615384710021317	g o t::0.0013613376067951322	p u s h e d::0.0012993678683415055	s a i d::0.0012031418737024069	b e e n::0.0009547554072923958	f i l l e d::0.0008493228815495968	b r o k e n::0.0008280468173325062	d i s a p p o i n t e d::0.0005934308865107596	l e f t::0.0005531088681891561	h e a r d::0.0005351940053515136	t o l d::0.0004610955365933478	l i t t l e::0.0003549361717887223	m o s t l y::0.00034859031438827515	s i m p l y::0.00034311588387936354	s e e n::0.0003163057554047555
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	w i n d::0.6443681120872498	w i n d s::0.3483472466468811	i t::0.0018384200520813465	w i n d i n g::0.0010951190488412976	h a s::0.0010803299956023693	t h i s::0.0003888223727699369	r u n s::0.0001393427373841405	i s::0.00013667040911968797	p o w e l l::0.00012822782446164638	a l l::0.0001263509038835764	w o r k s::9.54284259933047e-05	m a k e s::8.098844409687445e-05	d a x::7.508987619075924e-05	o n::6.340078834909946e-05	t h r e a d::6.103448322392069e-05	t w i s t::5.763004446635023e-05	a n d::3.704725895659067e-05	g o e s::3.454979378147982e-05	i t s::3.219599602743983e-05	h e::3.1739313271827996e-05
