The rest is tinkering, magic, forbidden games.	rest	 whole::0.45833897590637207	 all::0.19748513400554657	 entire::0.08263365179300308	 total::0.028448045253753662	 entirety::0.025291599333286285	 world::0.016926106065511703	 totality::0.014772733673453331	 end::0.008781315758824348	 universe::0.008404383435845375	 complete::0.007719006855040789	 full::0.006938806269317865	 rest::0.006870823912322521	 everything::0.0028037449810653925	 All::0.002632990712299943	 Whole::0.0025042647030204535	 last::0.0021234943997114897	 ultimate::0.0020566072780638933	 game::0.00195473269559443	 remainder::0.001939772511832416	 final::0.0017941949190571904
The handle incorporates a wire spring gated clip, what Schrade calls a ����plunger device,���� to allow you to quickly clip or unclip the knife from a key ring.	ring	 ring::0.9987305998802185	 rings::0.0011045101564377546	 band::9.565481741447002e-05	ring::2.2675161744700745e-05	 Ring::5.3418311836139765e-06	 rang::5.073427928437013e-06	 chain::4.9717318688635714e-06	 register::4.800841907126596e-06	 pin::2.0796062472072663e-06	 belt::2.0154775484115817e-06	 pack::1.3465827350955806e-06	 box::1.0300296935383813e-06	 link::9.711214943308732e-07	 rack::8.731817047191726e-07	 rank::7.253193530232238e-07	 bell::7.214395623122982e-07	 finger::6.705702162435045e-07	 lock::5.515981342796294e-07	 line::5.487501084644464e-07	 mark::4.111814746465825e-07
There were dark rings under his eyes, and, somehow, in some indefinable manner, he seemed years older, a broken old man.	rings	 ring::0.9493750929832458	 rings::0.04939194768667221	 circle::0.00024164427304640412	 Ring::0.0001538065989734605	 mark::0.00013453121937345713	 band::8.159481512848288e-05	 round::4.753794564749114e-05	 circles::3.4707540180534124e-05	 marks::2.0524352294160053e-05	ring::2.0292434783186764e-05	 rock::1.981691639230121e-05	 number::1.1287118468317203e-05	 ringing::9.838041478360537e-06	 rib::6.667324214504333e-06	 rang::6.354268407449126e-06	 metal::6.279208264459157e-06	 rubber::5.924749984842492e-06	 wear::5.8636824178393e-06	 pin::5.73108491153107e-06	 Rings::5.59096133656567e-06
This ring is open to all sites with a product or service to sell online.	ring	 ring::0.5203182101249695	 rings::0.44507890939712524	 is::0.0022666745353490114	.::0.0010884754592552781	 one::0.0007554678013548255	 circle::0.0007341711316257715	,::0.0006926508503966033	 link::0.0006518106674775481	 band::0.0005023792618885636	 email::0.00042069933260791004	 round::0.000405624188715592	 Ring::0.0003935270360670984	 circles::0.000384345039492473	 rang::0.00032647320767864585	 links::0.0002920654078479856	 brand::0.00027828177553601563	 box::0.00026707228971645236	 site::0.00025780778378248215	 and::0.00024043348093982786	 circular::0.0002357848861720413
Try saying " give me a ring " to the next Brit you meet.	ring	 ring::0.5502158403396606	 rings::0.4421041011810303	 Ring::0.0009395172819495201	 bells::0.0007539620855823159	 bell::0.00030086562037467957	 Rings::0.00026255485136061907	 band::0.00016278412658721209	 diamond::0.00014601286966353655	 diamonds::0.00013991017476655543	 rang::0.0001365696225548163	 ringing::0.00011162529699504375	…::6.319177191471681e-05	 …::5.843013423145749e-05	 rose::5.819012221763842e-05	 dress::5.489086470333859e-05	 box::5.170800432097167e-05	 kiss::5.110168785904534e-05	 rock::3.843785452772863e-05	 roses::3.474399272818118e-05	 wedding::3.356768502271734e-05
Doesn't quite have the same ring to it... June 28 - M.S.S. announces that he is going to write a book about his experiences in which he will reveal details about the collapse of the Ba'athist regime.	ring	 rings::0.9142998456954956	 ring::0.08216355741024017	 bells::0.0018832676578313112	 ringing::0.00038489565486088395	 rang::0.0002027847513090819	 Rings::0.000141972181154415	 sounds::0.00010588053555693477	rings::9.177889296552166e-05	 feels::5.1194037951063365e-05	 circles::4.568219083012082e-05	 Ring::3.307025326648727e-05	 bands::3.080347232753411e-05	 hooks::2.97411679639481e-05	 tones::1.4218565411283635e-05	Ring::1.078247260011267e-05	 feel::1.024668017635122e-05	 bell::9.788833267521113e-06	 tunes::8.585721843701322e-06	 signals::8.449807864963077e-06	 beats::8.143510058289394e-06
The myelin sheath appears as a dark ring.	ring	 ring::0.8031074404716492	 rings::0.18285317718982697	 circle::0.0010308233322575688	 band::0.00042610691161826253	 ruby::0.00022527096734847873	 Ring::0.00021860847482457757	 mask::0.0001742193999234587	 bell::0.0001708171039354056	 diamond::0.00015373869973700494	 mark::0.00014798279153183103	 round::0.00012756962678395212	 dress::0.0001239592384081334	 circles::0.00012181604688521475	 charm::0.0001159803505288437	 ringing::0.00011281365732429549	 box::0.00010508373088669032	 necklace::0.00010327120253350586	ring::9.737507934914902e-05	 ribbon::9.256853081751615e-05	 orb::8.910348697099835e-05
Besides that notable contribution, in just a few years time military bloggers - whether a part of the ring or not - have helped raise funds for Iraqi children and wounded veterans alike, brought attention to efforts to support the troops, inspired songs, helped launch film projects, and signed book deals.	ring	 rings::0.7977803945541382	 ring::0.20035311579704285	 rang::0.0002067071764031425	 Rings::0.0001324918121099472	rings::0.0001239428820554167	 circles::0.00011041300604119897	 bells::9.269835572922602e-05	 Ring::8.837379573378712e-05	 ringing::6.056206257198937e-05	 bands::5.2122395572951064e-05	 links::3.864994505420327e-05	 band::3.0025146770640276e-05	ring::2.2933514628675766e-05	 wraps::2.0303634300944395e-05	 ropes::1.8458551494404674e-05	 the::1.6668027456034906e-05	 circle::1.333069485554006e-05	 circus::1.2319193956500385e-05	 rounds::1.2210369277454447e-05	 network::9.992269042413682e-06
We have done away with quarterstraps, spider rings and hair cinches and substituted a girth, which, buckling to leather billets, reduces the weight and reduced the time needed in saddling.	rings	 rings::0.552228569984436	 ring::0.4471912682056427	 Ring::7.73348001530394e-05	ring::5.015368151362054e-05	rings::3.559632023097947e-05	 links::3.3474614610895514e-05	 rang::2.8156318876426667e-05	 bands::2.4447614123346284e-05	 Rings::2.2759708372177556e-05	 band::2.2032050765119493e-05	 bells::1.7493597624707036e-05	 ringing::1.0129578186024446e-05	 rib::7.177057796070585e-06	 pin::7.176756753324298e-06	 round::5.6191074691014364e-06	 hooks::5.362383035389939e-06	 circles::5.195576250116574e-06	 wire::5.16378440806875e-06	 pins::4.5659849092771765e-06	 rounds::4.427327894518385e-06
You could say that the atom is " balanced " because it has an even number of electrons on each ring.	ring	 ring::0.9782184958457947	 rings::0.004148801788687706	 orbit::0.0010099968640133739	 atom::0.001007503247819841	 molecule::0.0008999424171634018	 circle::0.0007290180656127632	 element::0.0005682972259819508	 Ring::0.0004815280844923109	 surface::0.0003897183923982084	 sphere::0.000350889255059883	 cylinder::0.00034810416400432587	 electron::0.0002747183316387236	ring::0.0002744376251939684	 nucleus::0.00024175929138436913	 band::0.00022126339899841696	 bond::0.00019453045388218015	 round::0.0001880289491964504	 coil::0.00018410958000458777	 row::0.00017070276953745633	 spin::0.00016553729074075818
Increased quality= less quality costs (scrap, customer returns) =increased margins.	scrap	paper::0.04157204180955887	consumer::0.0386139452457428	glass::0.029587145894765854	cycles::0.028191784396767616	stock::0.02205483801662922	raw::0.01824689470231533	parts::0.01586400531232357	new::0.013985257595777512	products::0.012400560081005096	cuts::0.011809427291154861	stuff::0.00915396399796009	assembly::0.008938332088291645	steel::0.008566808886826038	issues::0.008231770247220993	blocks::0.007887478917837143	packing::0.00752269709482789	dust::0.007283102720975876	rack::0.006910776719450951	cycle::0.006600701250135899	metal::0.006415851414203644
General Update #3 Wednesday, 24th September, 2003:: 03:56 EDT - Sidenotes - perplexed A little more of the general boring scrap, nothing to get too excited about.	scrap	 scrap::0.9729492664337158	 scraps::0.015565769746899605	 scrapped::0.0019295053789392114	 stuff::0.001918510883115232	 junk::0.0008996991673484445	 crap::0.0008918841485865414	 scrape::0.0004519831854850054	 salvage::0.0004326084745116532	 scra::0.00028724648291245103	 scratch::0.00014490126341115683	 layout::0.00010154246410820633	 thing::9.291829337598756e-05	 scrub::8.980905113276094e-05	 content::6.773094355594367e-05	 trash::6.222386582521722e-05	 scraping::6.117112934589386e-05	 grind::5.712510028388351e-05	 swap::5.70197262277361e-05	 rubbish::5.632576721836813e-05	 stash::5.424074697657488e-05
Indeed this would only be feeding the opposites of good and bad and, as we are reminded by that little scrap of paper on the wall at the Maenllwyd, " When the opposites arise, the Buddha mind is lost ".	scrap	 scrap::0.8648015856742859	 scrapped::0.09933619946241379	 scraps::0.029564127326011658	 scrape::0.0016840946627780795	 scratched::0.001281680422835052	 scratch::0.0011655774433165789	 scra::0.00032287253998219967	 scraping::0.0002397747157374397	 scratches::9.427253826288506e-05	 discarded::9.275753836845979e-05	 piece::9.043511818163097e-05	 slashed::7.45125871617347e-05	 brushed::5.340879943105392e-05	 shredded::3.1111274438444525e-05	 snippet::2.9843844458810054e-05	 spat::2.6767467716126703e-05	 snapped::2.5732695576152764e-05	 flap::2.5272165657952428e-05	 clipped::2.441244214423932e-05	 scratching::1.9521145077305846e-05
Now each day the central banker taxes the other Asians on the island by confiscating a portion of the scraps of food the American throws them each day from his table.	scraps	 leftover::0.5029426217079163	 scraps::0.44645190238952637	 scrap::0.00839882530272007	 surplus::0.0016507066320627928	 remnants::0.0015851756324991584	 remains::0.0011973752407357097	 left::0.001188542228192091	 pieces::0.0011506000300869346	overs::0.0010213797213509679	 waste::0.0008844667463563383	 garbage::0.0007263444713316858	 scrapped::0.0007160936365835369	 salvage::0.0005141072906553745	 piece::0.0004928341950289905	 discarded::0.0004712785012088716	 finished::0.00039731981814838946	 spoiled::0.00038194863009266555	 junk::0.00038175343070179224	 trash::0.0003737161459866911	 untouched::0.00036340838414616883
" Saying this, Rikiu stepped into the garden, shook a tree and scattered over the garden gold and crimson leaves, scraps of the brocade of autumn!	scraps	 scraps::0.7849228382110596	 leftover::0.09469199925661087	 remnants::0.031198842450976372	 scrap::0.023281259462237358	 pieces::0.003539648838341236	 waste::0.0021533030085265636	 residue::0.0018256449839100242	 fragments::0.001813567359931767	 salvage::0.0015371713088825345	 remnant::0.0015180462505668402	 remains::0.0012565568322315812	 parts::0.0011572368675842881	 debris::0.0011083409190177917	 carnage::0.0007362329633906484	 finish::0.0007265793392434716	 extras::0.0007222408312372863	 fallout::0.0007220590487122536	 scratch::0.0006850048084743321	 wreckage::0.0006601614295504987	 bits::0.0006420264253392816
6 Cut a nose shape from a scrap of felt the same colour as your nose thread.	scrap	 leftover::0.658040463924408	 scrap::0.2706140875816345	 scraps::0.01965608447790146	 scrapped::0.00815054215490818	 remnant::0.005281511228531599	 salvage::0.003561862977221608	 piece::0.002572255674749613	 scratch::0.0022211482282727957	 wrapper::0.0020759603939950466	 bunch::0.0017039815429598093	 stockpile::0.0012263443786650896	 stray::0.0007525374530814588	 stash::0.0007110707811079919	 scrape::0.0006058768485672772	 chunk::0.0005620935698971152	 backup::0.00048455121577717364	 scra::0.0004178463132120669	 finish::0.00037982987123541534	 ditch::0.0003790598129853606	 rectangle::0.0003734935016836971
He saw the spark of an explosion where the main bridge section would have been and smiled in satisfaction as his brain started counting up the scrap value of an Imperial Customs Frigate.	scrap	 scrap::0.8879929184913635	 scrapped::0.09023308008909225	 salvage::0.009621905162930489	 scraps::0.003029365325346589	 junk::0.0007448400720022619	 scratch::0.0003917492285836488	 scra::0.0003527298686094582	 wrecked::0.0002221730537712574	 scrape::0.0001689977798378095	 discarded::0.0001432624994777143	 crap::0.00014325430674944073	 hull::0.00013226689770817757	 stripped::0.00010521287913434207	 dumped::9.174065053230152e-05	 wreck::8.572104707127437e-05	 loot::8.10467463452369e-05	 stolen::6.963330815779045e-05	 shattered::6.897213461343199e-05	 lost::5.814841279061511e-05	 garbage::5.651266474160366e-05
Recycled ferrous scrap consumes 75 percent less energy than new ore.	scrap	 scrap::0.4116135835647583	 recycled::0.40172287821769714	 recycling::0.02123343199491501	 scrapped::0.01387802790850401	 reclaimed::0.013298342935740948	 processed::0.0119099672883749	 mined::0.0093646589666605	 shredded::0.006745548453181982	 crushed::0.00666284142062068	 scraps::0.005738275125622749	 discarded::0.005556255578994751	 metal::0.00474346149712801	 recovered::0.004461478441953659	 ore::0.0025656300131231546	 material::0.002229347126558423	 recycle::0.0019450943218544126	 treated::0.0019220886752009392	 waste::0.0016799775185063481	 reused::0.0012150517432019114	 refined::0.001198328798636794
At the opposite end of the chopping board from the chopped food hopper is located another hopper which is used specifically for collecting the cut food scraps.	scraps	 scraps::0.7663987874984741	 scrap::0.23089107871055603	 leftover::0.0007171242032200098	 scrapped::0.000188331090612337	 waste::0.00015661632642149925	 scrape::0.00015161545888986439	 discard::9.218455670634285e-05	 remnants::8.950696792453527e-05	 salvage::7.538680074503645e-05	 wrapper::4.842816269956529e-05	 grease::4.8243226046906784e-05	 residue::4.129910666961223e-05	 scratch::4.0698392695048824e-05	 pieces::3.319476672913879e-05	 garbage::3.0503904781653546e-05	 discarded::2.6657789931050502e-05	 slice::2.323138869542163e-05	 slices::2.1096173441037536e-05	 spoil::1.8807037122314796e-05	 debris::1.6494965166202746e-05
Find out what type of scrap booking sheets fit in their scrap book and create a page or two for them!	scrap	 scrap::0.8076580762863159	 scraps::0.07422319799661636	 swap::0.002856398932635784	 vintage::0.0024205814115703106	 stash::0.002407495630905032	 photo::0.002188056241720915	 junk::0.002154873451218009	 crafting::0.0018075867556035519	 recipe::0.0017295682337135077	 craft::0.0016394286649301648	 leftover::0.0016356868436560035	 discard::0.001577646005898714	 sketch::0.0013612302718684077	 giveaway::0.0013604206033051014	 coupon::0.0013508123811334372	 crafts::0.001229389221407473	 memories::0.0011394871398806572	 scrapped::0.0010257677640765905	 salvage::0.0010181774850934744	 memory::0.0007808513473719358
" Chalabi is still on the Defense Intelligence Agency's budget for a secret stipend of $ 340,000 a month.	secret	 secret::0.5623387098312378	secret::0.19374318420886993	 confidential::0.05033928155899048	 classified::0.026334663853049278	 secretive::0.009360088035464287	 private::0.0078461654484272	 hidden::0.006802812684327364	 undisclosed::0.006719198543578386	 covert::0.006489134859293699	 clandestine::0.00322266505099833	 a::0.0031908233650028706	a::0.0031322359573096037	 public::0.0023789105471223593	 regular::0.0020392504520714283	 special::0.0018132971599698067	 small::0.001494864234700799	 mysterious::0.0014234904665499926	 anonymous::0.0014121164567768574	classified::0.0013361134333536029	 secrecy::0.0012913107639178634
But there was a secret core group based on the knowledge of existence of secret partnerships.	secret	 secret::0.7711324095726013	 secrets::0.10427387058734894	 secretive::0.007454786915332079	 secrecy::0.005936472211033106	 these::0.0055604856461286545	 clandestine::0.004882985260337591	 private::0.0047734021209180355	 covert::0.004540742840617895	 the::0.004444363992661238	 hidden::0.0037111109122633934	 those::0.0031998001504689455	 undisclosed::0.002937892684713006	 anonymous::0.002527622040361166	 Secret::0.0024420085828751326	 all::0.0023747531231492758	 confidential::0.0019180565141141415	 such::0.0012549780076369643	 mysterious::0.0011030995519831777	secret::0.0011024265550076962	 dark::0.0008911764016374946
I think we 've really got to know whether the hookworm of political corruption in the form of secret campaign funds had invaded the Premier's office in this province, and the Premier's got to answer with a full explanation of those secret trust funds.	secret	 secret::0.8085377812385559	 secrets::0.17113341391086578	 secretive::0.0036860122345387936	 secrecy::0.003646405879408121	 hidden::0.001221686601638794	 Secret::0.0006222008960321546	 clandestine::0.0005811021546833217	 secretly::0.0004971662419848144	 covert::0.0004188875900581479	secret::0.0004046684771310538	 private::0.000333492731442675	 undisclosed::0.00023953324125614017	 Secrets::0.00021594174904748797	 confidential::0.0002055490476777777	 mysterious::0.00018640072084963322	 anonymous::0.0001825814542826265	 special::0.00013393405242823064	 silent::0.00012482551392167807	 sneaky::0.00010843663767445832	 dark::0.00010509438288863748
Is there a devious secret government?	secret	 secret::0.377574622631073	 world::0.034266989678144455	 shadow::0.026770051568746567	 big::0.01409096084535122	 super::0.013269438408315182	 global::0.01242650393396616	 communist::0.009749693796038628	 secretive::0.005846222396939993	 hidden::0.005735508631914854	 international::0.005351753905415535	 evil::0.005146142560988665	 fake::0.004936628043651581	 totalitarian::0.004761619493365288	 corrupt::0.004747218918055296	 invisible::0.004429082851856947	 underground::0.004287282936275005	 government::0.0042069898918271065	 shadowy::0.003947310149669647	 fascist::0.003901382442563772	 federal::0.0036257393658161163
Among her accomplishments was the ten-word secret message she sent to General Pierre G.T. Beauregard which ultimately caused him to win the battle of Bull Run.	secret	 secret::0.48585206270217896	 secrets::0.41576632857322693	secret::0.01960952952504158	 confidential::0.004403525032103062	 Secrets::0.004392250906676054	 Secret::0.002829010831192136	 secretive::0.0026008239947259426	 hidden::0.0023908966686576605	 secrecy::0.002202236093580723	 private::0.0017953499918803573	 anonymous::0.0011648967629298568	 the::0.001099495217204094	 classified::0.0010838911402970552	 covert::0.0010605170391499996	 mysterious::0.0009412951185368001	 silent::0.0009045097976922989	 sneaky::0.0005431612953543663	 mysteries::0.0005300266784615815	 clandestine::0.0004985184059478343	 famous::0.000496057968121022
Sometimes I spy on him snacking, or peek at his secret projects and feel mild shame that, Yes, he isn't doing anything wrong.	secret	 secret::0.5214682221412659	 secrets::0.4515497088432312	secret::0.005260109435766935	 secrecy::0.002277593594044447	 hidden::0.0017011340241879225	 secretive::0.0012923931935802102	 private::0.001097505446523428	 clandestine::0.0006160440971143544	 Secret::0.0005164883914403617	 Secrets::0.0004457302566152066	 secretly::0.0004013816942460835	 covert::0.0003871138906106353	.::0.0003425886097829789	 and::0.00024221550847869366	rets::0.00023836843320168555	 projects::0.0001978965156013146	Secret::0.00019627557776402682	 sec::0.00019331666408106685	 mystery::0.00015340869140345603	sec::0.00012911163503304124
After poking around on the web to see what the big deal is about visual changes, and coming across things like " pituitary bleeding " -- which just calls to mind my secret fear the last time I had visual symptoms, that I have a pituitary tumor too small to be detected on MRI -- I think I 'm fine with not taking any chances.	secret	 secret::0.9925909042358398	 secrets::0.004619089420884848	 hidden::0.0003734875936061144	 private::0.000355278083588928	 Secret::0.0003485154011286795	secret::0.0001564930862514302	 dark::0.00013136881170794368	 secrecy::8.833994797896594e-05	 silent::8.101830462692305e-05	 real::6.14429809502326e-05	 secretly::5.834416879224591e-05	 sec::4.394751522340812e-05	 closet::4.226390956318937e-05	 quiet::4.213930878904648e-05	 hiding::3.8893329474376515e-05	 covert::3.881729207932949e-05	 secretive::3.142105197184719e-05	 big::2.1384345018304884e-05	Secret::1.9636408978840336e-05	 biggest::1.6907828467083164e-05
ELECTION: In the event of a contest, election shall be by secret ballot, and a plurality vote shall be required for election.	secret	 secret::0.8021758794784546	 a::0.021042225882411003	secret::0.014148925431072712	 the::0.011679238639771938	 public::0.009084357880055904	 secrecy::0.004682938568294048	 anonymous::0.0031017460860311985	 private::0.0026588086038827896	 open::0.002460741437971592	 plural::0.0020136612001806498	 confidential::0.0019654545467346907	 secretive::0.0019167489372193813	a::0.001838515978306532	 clandestine::0.001834095804952085	 direct::0.0018187749665230513	 democratic::0.001276761875487864	 ballot::0.001254749484360218	 republican::0.0011668811785057187	 transparent::0.0011458230437710881	 special::0.001060040551237762
An intriguing series of events are described, from the knowledge taught to Enoch by the angel Uriel, through the construction of megalithic monuments, to the creation and shaping of nations and religions, and the formation of modern secret societies - even the mysterious agenda of the New World Order.	secret	 secrets::0.6715126037597656	 secret::0.31853634119033813	 secrecy::0.0019640461541712284	 secretive::0.0006507495418190956	 Secrets::0.00043681595707312226	 Secret::0.0003591422864701599	 mysteries::0.00033706650719977915	secret::0.0002476873341947794	 shadows::0.00019536585023161024	 hidden::0.00017726012447383255	 sec::0.00015913273091427982	 clandestine::0.0001576884969836101	s::0.00014500258839689195	 covert::0.00011669877858366817	 spies::7.11666580173187e-05	 dark::6.849071360193193e-05	 secretly::6.211672007339075e-05	 occult::5.144728493178263e-05	 hints::4.8291734856320545e-05	rets::4.409812390804291e-05
maybe and FBI agent.... not secret service....	secret	 secret::0.931154727935791	 secrets::0.009008610621094704	 clandestine::0.003454524325206876	 special::0.00313113396987319	 security::0.002077423268929124	 but::0.0018170552793890238	 the::0.0016977181658148766	 intelligence::0.0016200914978981018	secret::0.001579558476805687	 spy::0.0014845146797597408	 classified::0.0014024145202711225	 public::0.0011918357340618968	 secretive::0.001035678549669683	 Secret::0.0009717725915834308	 hidden::0.0007830963586457074	 any::0.0007156196516007185	 covert::0.0006399838603101671	 national::0.000620137492660433	 confidential::0.0006194093148224056	 federal::0.0006077070138417184
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	 shots::0.840481162071228	 shot::0.1486460566520691	 shoot::0.004201942589133978	 shoots::0.0036047808825969696	 shooters::0.00032269180519506335	shots::0.00031075256993062794	shot::0.0001575057685840875	 guns::0.000118369804113172	 shooter::0.00010852697596419603	s::0.00010745344479801133	 bullets::9.227586269844323e-05	 Shots::9.156370651908219e-05	 balls::7.839989848434925e-05	 ball::7.14321358827874e-05	 shooting::7.097879279172048e-05	 weapons::5.551458889385685e-05	shoot::5.419178705778904e-05	 hit::4.702305159298703e-05	 hits::3.725225542439148e-05	 targets::3.318571543786675e-05
