The rest is tinkering, magic, forbidden games.	rest	 rest::0.9998993873596191	 best::4.5426197175402194e-05	 remainder::1.5262783563230187e-05	 end::1.2077863175363746e-05	 part::4.587528565025423e-06	 REST::3.1868657970335335e-06	 most::2.1279695374687435e-06	 Rest::1.939320327437599e-06	 past::1.6258176174233085e-06	 lot::1.051574372468167e-06	 majority::9.889713510347065e-07	 whole::9.609162816559547e-07	 start::7.279098213075486e-07	 last::6.94748678142787e-07	 balance::4.569554050704028e-07	 finish::3.993214647834975e-07	 result::3.7430874044730444e-07	 stuff::3.4832359574465954e-07	 other::3.342366596825741e-07	 return::3.149411611502728e-07
The handle incorporates a wire spring gated clip, what Schrade calls a ����plunger device,���� to allow you to quickly clip or unclip the knife from a key ring.	ring	 ring::0.9999784231185913	 rings::6.816824225097662e-06	 chain::6.670505626971135e-06	 band::3.973276761826128e-06	ring::2.813769469867111e-06	 Ring::6.72400005896634e-07	 rang::2.1714434694786178e-07	 pin::8.275327445517178e-08	 rack::5.9264181118123815e-08	 box::4.6448011659094846e-08	 register::2.9198224282822594e-08	 bar::1.5430584809905667e-08	 frame::1.0525554650087088e-08	 pack::9.32242194551236e-09	 car::8.94298057829701e-09	 stand::8.883376700907775e-09	 belt::8.08313238565006e-09	 stick::7.923676825782877e-09	 hook::7.083742481484023e-09	 grip::6.8735555025511985e-09
There were dark rings under his eyes, and, somehow, in some indefinable manner, he seemed years older, a broken old man.	rings	 rings::0.9999668598175049	 circles::1.4037887012818828e-05	 bands::8.047423762036487e-06	 Rings::5.59390628041001e-06	 marks::2.2384172098099953e-06	 ring::1.0489369515198632e-06	 bruises::1.3526019415621704e-07	 bags::1.2170613672424224e-07	 pits::9.806335299344937e-08	 wrinkles::9.383900589909899e-08	 lines::9.340686091263706e-08	 burns::7.883188857249479e-08	 ages::7.872791485397101e-08	 scars::7.38187893034592e-08	 medals::6.728382828669055e-08	 ribs::5.795738644565063e-08	rings::4.811347409372502e-08	 shadows::4.712189749511708e-08	 registers::4.603278114245768e-08	 rows::3.66035024512712e-08
This ring is open to all sites with a product or service to sell online.	ring	 ring::0.2968190610408783	 offer::0.06642157584428787	 call::0.04209660738706589	 giveaway::0.03990647569298744	 contest::0.037377141416072845	 post::0.03725827485322952	 competition::0.03449219837784767	 invitation::0.019658761098980904	 event::0.016820162534713745	 opportunity::0.014023728668689728	 application::0.011903508566319942	 Ring::0.010965565219521523	 tour::0.010494635440409184	 list::0.00935062300413847	 search::0.009309409186244011	 promotion::0.0092459162697196	 email::0.009050152264535427	 program::0.008176318369805813	 link::0.0074638728983700275	 policy::0.006556236185133457
Try saying " give me a ring " to the next Brit you meet.	ring	 ring::0.9996820688247681	 Ring::0.00013824018242303282	 bell::3.6110835935687646e-05	 rings::1.7640959413256496e-05	 ringing::9.726591997605283e-06	 signal::9.28323333937442e-06	 band::7.1893882704898715e-06	 call::7.152104444685392e-06	 round::4.206397989037214e-06	 rang::3.2561615626036655e-06	 kiss::2.8405729608493857e-06	 phone::1.89178194887063e-06	 mark::1.888710130515392e-06	 clock::1.4674990325147519e-06	 pin::1.456678887734597e-06	 bit::1.429730673407903e-06	 reply::1.4163604191708146e-06	 match::1.2820376014133217e-06	 rock::1.2384715546431835e-06	 link::1.083966367332323e-06
Doesn't quite have the same ring to it... June 28 - M.S.S. announces that he is going to write a book about his experiences in which he will reveal details about the collapse of the Ba'athist regime.	ring	 ring::0.9999967813491821	 ringing::1.4154396694721072e-06	 Ring::6.630666575802024e-07	 rings::2.7610803954303265e-07	 rang::2.3086505507308175e-07	 bell::1.4700505346354475e-07	 sound::1.2657601189403067e-07	 hook::1.2072946731223055e-07	 round::8.235704029857516e-08	 feel::8.09124358625013e-08	Ring::1.9998147138267086e-08	 catch::1.6026723059781034e-08	 circle::1.0515875281669196e-08	 hang::7.77839126442359e-09	 tone::7.614162633728938e-09	 loop::7.164750570609613e-09	 tune::7.028825965704755e-09	 end::6.3732876753874734e-09	 bark::5.882310194493812e-09	 call::5.266416192029055e-09
The myelin sheath appears as a dark ring.	ring	 ring::0.9997274279594421	 rings::7.208144961623475e-05	 band::4.539136352832429e-05	 circle::4.0043683839030564e-05	 Ring::2.0945393771398813e-05	 mark::6.517330803035293e-06	ring::4.387027729535475e-06	 box::3.8071273138484685e-06	 round::3.223938392693526e-06	 diamond::1.825258664212015e-06	 ringing::1.8052053292194614e-06	 line::1.2642715319088893e-06	 mask::1.17734316518181e-06	 rim::1.1340207493049093e-06	 pin::1.0998771813319763e-06	 pattern::1.0765319302663556e-06	 ribbon::1.0361123941038386e-06	 ball::1.0210611662841984e-06	 star::8.402096796089609e-07	 rock::8.30481155844609e-07
Besides that notable contribution, in just a few years time military bloggers - whether a part of the ring or not - have helped raise funds for Iraqi children and wounded veterans alike, brought attention to efforts to support the troops, inspired songs, helped launch film projects, and signed book deals.	ring	 ring::0.7448415756225586	 military::0.058792464435100555	 Army::0.023101406171917915	 army::0.01639610342681408	 band::0.010386199690401554	 Ring::0.009619378484785557	 service::0.006180909927934408	 force::0.0052295858040452	 pack::0.003825901076197624	 RG::0.003781342413276434	 fight::0.003760053776204586	 group::0.0034126935061067343	 network::0.0031460800673812628	 war::0.002734279492869973	 organization::0.0026617045514285564	 corps::0.0025921135675162077	 resistance::0.0025455872528254986	 campaign::0.0024783515837043524	 cause::0.0022335615940392017	 club::0.0021898425184190273
We have done away with quarterstraps, spider rings and hair cinches and substituted a girth, which, buckling to leather billets, reduces the weight and reduced the time needed in saddling.	rings	 rings::0.9999220371246338	 Rings::3.708227814058773e-05	 ring::1.2059536857123021e-05	 bands::1.1263044143561274e-05	rings::3.935402673960198e-06	 bells::3.7111694837221876e-06	 links::1.930403868755093e-06	 tyres::6.502378937511821e-07	 ropes::5.684905204361712e-07	 hooks::4.927425720779866e-07	 rounds::3.9052073930179176e-07	 pins::3.7023158938609413e-07	 wraps::3.1932398769640713e-07	 locks::3.1571332215207804e-07	 circles::3.005692974511476e-07	 wires::2.669364960183884e-07	 rows::2.587790106645116e-07	 ribs::2.4766259798525425e-07	 bonds::2.415234234831587e-07	 balls::2.1784644843592105e-07
You could say that the atom is " balanced " because it has an even number of electrons on each ring.	ring	 ring::0.9999656677246094	 Ring::1.961069392564241e-05	 rings::7.270759397215443e-06	 band::3.532404889483587e-06	 orbit::5.358154453460884e-07	ring::5.291489628689305e-07	 row::4.6535765818589425e-07	 round::4.20317775251533e-07	 circle::3.643685602128244e-07	 rib::2.224232815706273e-07	 bond::1.195260352915284e-07	 rang::8.708160947890065e-08	 frame::4.946414833284507e-08	 string::4.595079161617832e-08	 core::4.282529175725358e-08	 radius::4.278447462979784e-08	 arm::4.277631049376396e-08	Ring::3.321676800283058e-08	 cylinder::3.162476502893696e-08	 corner::3.0381585247596377e-08
Increased quality= less quality costs (scrap, customer returns) =increased margins.	scrap	 scrap::0.915062665939331	rap::0.0776078999042511	 scrape::0.0036827840376645327	rape::0.0003002521407324821	 scratch::0.0002464714925736189	snap::0.00020904601842630655	blast::0.0001677689142525196	strap::0.00015435446402989328	rip::0.000140633579576388	sc::0.00013617577496916056	brush::9.902133024297655e-05	wrapper::9.276431956095621e-05	scar::8.986843022285029e-05	ratch::8.512856584275141e-05	slice::7.885097875259817e-05	strip::7.784171612001956e-05	trap::7.534439646406099e-05	skip::7.487364200642332e-05	clip::6.627897528233007e-05	rack::6.455890979850665e-05
General Update #3 Wednesday, 24th September, 2003:: 03:56 EDT - Sidenotes - perplexed A little more of the general boring scrap, nothing to get too excited about.	scrap	 scrap::0.8435468077659607	 stuff::0.07976367324590683	 story::0.005785074550658464	 scraps::0.0055720750242471695	 grind::0.004349762108176947	 saga::0.0036723106168210506	 crap::0.0028510664124041796	 thing::0.002678206190466881	 news::0.002344829495996237	 content::0.0019830893725156784	 post::0.001678736531175673	 scrape::0.001570087973959744	 recap::0.001276336144655943	 mess::0.0011338075855746865	 scratch::0.0010286641772836447	ness::0.0009521865868009627	 garbage::0.000922102655749768	 Saga::0.000700717733707279	 junk::0.0006125773652456701	 information::0.0006054220721125603
Indeed this would only be feeding the opposites of good and bad and, as we are reminded by that little scrap of paper on the wall at the Maenllwyd, " When the opposites arise, the Buddha mind is lost ".	scrap	 scrap::0.9999598264694214	 scrape::3.5964407288702205e-05	 piece::1.366064793728583e-06	 scratch::7.417510232698987e-07	 strip::6.497814410977298e-07	 scraps::3.295017734217254e-07	 slice::2.4855691549419134e-07	 shred::2.3275680405276944e-07	 slab::6.735320567941017e-08	 bit::5.668356095611671e-08	 sketch::5.2406328165943705e-08	 stub::4.113953266937642e-08	 blade::3.596338871147964e-08	 rip::3.218601207777283e-08	 flap::2.821786893036915e-08	 slip::2.3095328316458108e-08	 cut::1.989059228435508e-08	 slash::1.9111674021132785e-08	 snippet::1.8909346977125097e-08	 stretch::1.547480188435202e-08
Now each day the central banker taxes the other Asians on the island by confiscating a portion of the scraps of food the American throws them each day from his table.	scraps	 scraps::0.9999452829360962	 scrap::4.211136911180802e-05	 pieces::3.4921124552056426e-06	 scratches::1.112176505557727e-06	 slices::8.525075827492401e-07	 wastes::8.173004744094214e-07	 fragments::6.069932396712829e-07	 bits::3.469577336545626e-07	 rolls::3.2199312727243523e-07	 breaks::2.695870193747396e-07	 treats::2.478828946550493e-07	 piles::2.447847862185881e-07	 remnants::2.3231343959650985e-07	 cuts::2.2848503533623443e-07	 strips::2.0538301725991914e-07	 parcels::1.717159108238775e-07	 portions::1.04400768918822e-07	 chunks::8.900590131588615e-08	 meals::8.342373547520765e-08	 bundles::8.112213123467882e-08
" Saying this, Rikiu stepped into the garden, shook a tree and scattered over the garden gold and crimson leaves, scraps of the brocade of autumn!	scraps	 scraps::0.9996516704559326	 scrap::9.036871779244393e-05	 slices::5.3209801990306005e-05	 fragments::4.357726720627397e-05	 scratches::2.6508800146984868e-05	 pieces::2.4330018277396448e-05	 strips::1.93511677935021e-05	 remnants::1.0705907698138617e-05	 snippets::5.312439043336781e-06	 stripes::4.310719759814674e-06	 cuts::3.1929505439620698e-06	 scrolls::3.0684175271744607e-06	 wastes::2.7211440283281263e-06	 parts::2.297086666658288e-06	 chunks::2.1546311472775415e-06	 patches::1.895581931421475e-06	 traces::1.4423852690015337e-06	 scars::1.426533003723307e-06	 touches::1.3346550531423418e-06	 bits::1.3005092114326544e-06
6 Cut a nose shape from a scrap of felt the same colour as your nose thread.	scrap	 scrap::0.9999923706054688	 scrape::7.282195838342886e-06	 strip::1.5198762071122474e-07	 piece::7.716091232623512e-08	 slice::3.2255893955834836e-08	 scraps::3.099203738088363e-08	 shred::1.823596740280209e-08	 scratch::5.972820016353353e-09	 flap::4.825345012449134e-09	 stretch::2.379587860090737e-09	 chunk::2.318725877969996e-09	 blade::2.167797052976539e-09	 cut::2.045230651503971e-09	 rip::1.823449724547288e-09	 block::1.8200098095277895e-09	 patch::1.3433227863401953e-09	 slash::1.211726718963746e-09	 pinch::8.970229559146503e-10	 recess::8.004870100108974e-10	rap::6.68044064511264e-10
He saw the spark of an explosion where the main bridge section would have been and smiled in satisfaction as his brain started counting up the scrap value of an Imperial Customs Frigate.	scrap	 scrap::0.9996411800384521	 scrapped::0.00011926566367037594	 scrape::3.0045654057175852e-05	 scratch::2.8340398785076104e-05	 salvage::2.6456293198862113e-05	 shred::1.6896830857149325e-05	 hull::1.3368889085541014e-05	 junk::1.1871410606545396e-05	 scra::8.783733392192516e-06	 discard::7.089012797223404e-06	 blade::5.152750873094192e-06	 wreck::4.048330083605833e-06	 scraps::3.0532878554367926e-06	 total::2.940656486316584e-06	 strip::2.0689628854597686e-06	 dump::1.1997007050013053e-06	 blast::1.1669579862427781e-06	 trash::1.0069328482131823e-06	 piece::9.9194210179121e-07	 shatter::9.537449159324751e-07
Recycled ferrous scrap consumes 75 percent less energy than new ore.	scrap	 scrap::0.9999829530715942	 scraps::4.305573384044692e-06	 scrape::4.072440333402483e-06	 waste::1.1181570016560727e-06	 ore::5.886005851607479e-07	 steel::4.5217285560283926e-07	 bark::4.078828226283804e-07	 metal::3.5401131981416256e-07	 blade::3.2353574397347984e-07	 material::2.692354144073761e-07	 junk::2.417335736026871e-07	 skip::2.3266453297310363e-07	rap::2.316779159627913e-07	 salvage::2.125209448422538e-07	 trash::2.0115938070830452e-07	 paste::1.952993642362344e-07	 foil::1.7600737578504777e-07	 pulp::1.6973858407709486e-07	 shred::1.6801533320176532e-07	 alloy::1.669133666837297e-07
At the opposite end of the chopping board from the chopped food hopper is located another hopper which is used specifically for collecting the cut food scraps.	scraps	 scraps::0.9998413324356079	 scrap::0.00015090141096152365	 wastes::5.913147106184624e-06	 remnants::2.1214015077930526e-07	 residues::1.3163894152512512e-07	 waste::1.2545416439024848e-07	 pieces::1.235728035453576e-07	 slices::8.918424043713458e-08	 fragments::7.67699575021652e-08	 garbage::6.604366120654959e-08	 ingredients::5.261082591800914e-08	 materials::4.775473527729446e-08	 rejects::4.714942747341411e-08	 parts::3.8935709767429216e-08	 trash::3.5452718094575175e-08	 strips::3.234231016335798e-08	 contents::2.0357694197059573e-08	 supplies::1.8362413811701117e-08	 guts::1.8106302235310068e-08	 finishes::1.7944644881140448e-08
Find out what type of scrap booking sheets fit in their scrap book and create a page or two for them!	scrap	 scrap::0.9999961853027344	 scrape::6.316677172435448e-07	 scratch::5.307034598445171e-07	 sketch::3.4961138339895115e-07	 scrapped::1.14815158269721e-07	 clip::8.180247590416911e-08	 stash::7.925060430125086e-08	 scroll::7.119224676443991e-08	 lap::6.981660050087157e-08	 snap::6.104280458885114e-08	 save::6.092276549907183e-08	 scra::5.695613225498164e-08	 plan::5.0521776984169264e-08	 layout::4.381712415124639e-08	 slide::4.326222580175454e-08	 skip::4.2388407450744126e-08	 copy::4.1063259459406254e-08	 salvage::4.0272865931001434e-08	rap::3.966377093433948e-08	 flex::3.9460786638301215e-08
" Chalabi is still on the Defense Intelligence Agency's budget for a secret stipend of $ 340,000 a month.	secret	 secret::0.9999825954437256	 Secret::2.153478817490395e-06	 hidden::1.8850306560125318e-06	secret::1.3391776292337454e-06	 private::1.168639755633194e-06	 covert::1.0176311207032995e-06	 special::9.290944262829726e-07	 stealth::8.959930255514337e-07	 secrecy::5.517589443115867e-07	 secretive::5.046044293521845e-07	 classified::4.416475860580249e-07	 contract::3.5810489862342365e-07	 clandestine::3.5326112879374705e-07	 mystery::2.921161978974851e-07	 total::2.425611285161722e-07	 full::2.3834553530832636e-07	 security::2.3447584851510328e-07	 secretly::2.2346290506902733e-07	 quiet::1.86924751233164e-07	 secrets::1.785629564210467e-07
But there was a secret core group based on the knowledge of existence of secret partnerships.	secret	 secret::0.9998225569725037	 Secret::4.6529326937161386e-05	 private::1.663033435761463e-05	 covert::1.2784722457581665e-05	 special::1.0939106687146705e-05	 hidden::6.517951078421902e-06	 clandestine::5.289040018396918e-06	 dark::5.243197847448755e-06	 the::4.9281975407211576e-06	 real::4.0652839743415825e-06	 secretive::3.757895001399447e-06	secret::3.4980830605491064e-06	 illegal::2.943580511782784e-06	 parallel::2.5787933282117592e-06	 silent::2.1517794266401324e-06	 quiet::1.7671989098744234e-06	 these::1.7331437902612379e-06	 secrecy::1.3702191381526063e-06	 different::1.2706000234175008e-06	 corrupt::1.2631769550353056e-06
I think we 've really got to know whether the hookworm of political corruption in the form of secret campaign funds had invaded the Premier's office in this province, and the Premier's got to answer with a full explanation of those secret trust funds.	secret	 secret::0.9999845027923584	 Secret::1.0757173185993452e-05	 hidden::1.9069852896791417e-06	secret::6.912468393238669e-07	 private::6.70705617267231e-07	 special::4.4373908281158947e-07	 secretive::2.4618691440991824e-07	 covert::1.1005541011854802e-07	Secret::6.172253819158868e-08	 clandestine::4.7836877570262004e-08	 public::3.4958979711063876e-08	 corrupt::3.078512023080293e-08	 silent::3.054822883541419e-08	 illegal::2.695429657251225e-08	 dark::2.424652656429771e-08	 transparent::2.0378870146942063e-08	 secretly::1.4887620025660908e-08	 secrets::1.4857721275518543e-08	 subject::1.456634546315172e-08	 mysterious::1.3609373183953721e-08
Is there a devious secret government?	secret	 secret::0.9968438148498535	 secretive::0.00040733578498475254	 hidden::0.0003492031537462026	 shadow::0.0003160786291118711	 Secret::0.00017434358596801758	 covert::0.0001216896198457107	 clandestine::0.00012042385060340166	 stealth::6.682861567242071e-05	 dark::6.264164403546602e-05	 parallel::5.948691614321433e-05	 private::5.3534673497779295e-05	 real::3.74055998690892e-05	 special::3.700113666127436e-05	 underground::3.58594479621388e-05	secret::3.340606781421229e-05	 secrets::3.331749394419603e-05	 spy::2.064504769805353e-05	 big::1.9585970221669413e-05	 new::1.935151158249937e-05	 government::1.8868364350055344e-05
Among her accomplishments was the ten-word secret message she sent to General Pierre G.T. Beauregard which ultimately caused him to win the battle of Bull Run.	secret	 secret::0.9999837875366211	 Secret::7.188403742475202e-06	 private::2.3676282125961734e-06	secret::1.50631728956796e-06	 covert::1.2957408443980967e-06	 hidden::7.373958510470402e-07	 silent::4.010864529391256e-07	 special::3.4599565879034344e-07	 clandestine::3.429208845773246e-07	 secrets::3.399798060854664e-07	 dark::1.1772941377330426e-07	 quiet::7.542892888068309e-08	 secrecy::6.983890443734708e-08	 secretly::6.790899220732172e-08	 direct::5.1138133727590684e-08	 classified::4.6955282329008696e-08	 public::3.412074178754665e-08	 secretive::3.254222136206408e-08	 contract::2.864259229795607e-08	 stealth::2.7959881521155694e-08
Sometimes I spy on him snacking, or peek at his secret projects and feel mild shame that, Yes, he isn't doing anything wrong.	secret	 secret::0.9999750852584839	 Secret::1.3707425750908442e-05	 hidden::3.933960215363186e-06	 private::1.874218241937342e-06	secret::1.0423560752315097e-06	 quiet::4.771962380800687e-07	 silent::2.993471639456402e-07	 covert::2.9076321084176016e-07	 project::2.2270894817211229e-07	 special::2.1550312112594838e-07	 secretive::1.971737475514601e-07	 stealth::1.905730044882148e-07	 clandestine::1.651670658020521e-07	 secrets::1.4787700308716012e-07	 mystery::1.1482018180686282e-07	 spy::1.000921798777199e-07	 dark::9.217301766284436e-08	 surprise::7.790846723310096e-08	 fantasy::7.464711160309889e-08	Secret::6.357733184358949e-08
After poking around on the web to see what the big deal is about visual changes, and coming across things like " pituitary bleeding " -- which just calls to mind my secret fear the last time I had visual symptoms, that I have a pituitary tumor too small to be detected on MRI -- I think I 'm fine with not taking any chances.	secret	 secret::0.999932050704956	 private::2.589971336419694e-05	 Secret::1.2183395483589265e-05	 hidden::4.875498234468978e-06	 dark::4.377142431621905e-06	 silent::3.0924304610380204e-06	secret::2.054673814200214e-06	 real::1.8996684048033785e-06	 quiet::1.6614202422715607e-06	 secretly::1.005383182928199e-06	 secrets::8.729457476874813e-07	 constant::6.304933322098805e-07	 deep::3.26883593970706e-07	 sad::2.3642824942271545e-07	 surprise::2.2667627774808352e-07	 main::2.172494504293354e-07	 pet::2.0460613825434848e-07	 big::1.9446424914804084e-07	 personal::1.8067314044856175e-07	Secret::1.7350393477499892e-07
ELECTION: In the event of a contest, election shall be by secret ballot, and a plurality vote shall be required for election.	secret	 secret::0.9998137354850769	 secrecy::2.1760961317340843e-05	 confidential::1.3521846994990483e-05	 silent::1.2299905392865185e-05	 private::9.468370080867317e-06	 anonymous::5.508333288162248e-06	 secure::5.320480340742506e-06	 postal::4.328788691054797e-06	 ballot::4.326477210270241e-06	 quiet::4.251382051734254e-06	 open::4.103279479750199e-06	 public::4.020800133730518e-06	 sealed::3.7326453821151517e-06	 Secret::3.5300095078127924e-06	 instant::3.216489631086006e-06	 special::2.7393859909352614e-06	 closed::2.6411937597004e-06	 clandestine::2.3347963633568725e-06	 jury::2.0648726604122203e-06	secret::1.953759465322946e-06
An intriguing series of events are described, from the knowledge taught to Enoch by the angel Uriel, through the construction of megalithic monuments, to the creation and shaping of nations and religions, and the formation of modern secret societies - even the mysterious agenda of the New World Order.	secret	 secret::0.9999721050262451	 Secret::1.1254417586314958e-05	 hidden::4.280666416889289e-06	 secretive::3.3204853480128804e-06	 secrets::2.5618232939450536e-06	 private::1.455901383451419e-06	 clandestine::8.8028082245728e-07	secret::4.5506808987738623e-07	 dark::3.5755786598201666e-07	 special::3.473351739557984e-07	 secrecy::2.837160764102009e-07	 covert::1.8318225158964196e-07	 modern::1.0683051954174516e-07	 mystery::9.94039268675806e-08	 parallel::9.699387959472006e-08	 underground::9.286979008038543e-08	 complex::9.191817440523664e-08	 public::6.555077902703488e-08	 real::6.460568613420037e-08	 shadow::5.412564973994449e-08
